"2"	"3"
"1"	5	1
"2"	5	1
"3"	5	1
"4"	5	1
"5"	5	1
"6"	0	0
"7"	5	1
"8"	5	1
"9"	5	1
"10"	5	1
"11"	5	1
"12"	5	1
"13"	5	1
"14"	5	1
"15"	5	1
"16"	5	1
"17"	5	1
"18"	5	1
"19"	5	1
"20"	5	1
"21"	5	1
"22"	5	1
"23"	5	1
"24"	5	1
"25"	0	0
"26"	6	3
"27"	5	1
"28"	7	4
"29"	8	7
"30"	9	8
"31"	0	0
"32"	4	18
"33"	0	0
"34"	6	3
"35"	0	0
"36"	13	15
"37"	0	0
"38"	7	4
"39"	0	0
"40"	0	0
"41"	1	0
"42"	0	0
"43"	0	0
"44"	3	5
"45"	1	0
"46"	0	14
"47"	0	0
"48"	0	0
"49"	4	11
"50"	1	6
"51"	9	8
"52"	4	0
"53"	0	0
"54"	3	0
"55"	1	0
"56"	2	21
"57"	3	5
"58"	2	0
"59"	9	8
"60"	2	9
"61"	0	0
"62"	0	26
"63"	1	0
"64"	0	0
"65"	4	11
"66"	5	1
"67"	0	0
"68"	0	0
"69"	1	0
"70"	0	0
"71"	9	8
"72"	0	0
"73"	0	0
"74"	6	3
"75"	0	0
"76"	0	0
"77"	0	0
"78"	1	0
"79"	0	0
"80"	3	5
"81"	0	0
"82"	3	5
"83"	0	0
"84"	0	0
"85"	13	15
"86"	4	11
"87"	0	22
"88"	0	0
"89"	6	3
"90"	1	0
"91"	0	0
"92"	0	23
"93"	6	3
"94"	0	0
"95"	0	0
"96"	3	25
"97"	1	2
"98"	0	0
"99"	0	26
"100"	0	0
"101"	0	14
"102"	4	18
"103"	1	2
"104"	0	0
"105"	8	7
"106"	2	9
"107"	0	0
"108"	5	1
"109"	0	0
"110"	0	0
"111"	0	16
"112"	1	6
"113"	2	0
"114"	0	0
"115"	0	0
"116"	1	0
"117"	1	6
"118"	2	0
"119"	0	23
"120"	0	0
"121"	13	15
"122"	3	25
"123"	0	0
"124"	0	0
"125"	5	1
"126"	1	0
"127"	0	0
"128"	0	0
"129"	0	0
"130"	0	0
"131"	13	15
"132"	0	0
"133"	1	2
"134"	0	0
"135"	11	10
"136"	6	3
"137"	10	13
"138"	1	2
"139"	4	0
"140"	0	0
"141"	1	0
"142"	0	0
"143"	0	0
"144"	0	0
"145"	0	0
"146"	0	0
"147"	4	18
"148"	0	0
"149"	0	0
"150"	10	17
"151"	1	0
"152"	7	4
"153"	0	0
"154"	13	15
"155"	0	27
"156"	0	0
"157"	0	0
"158"	0	0
"159"	6	3
"160"	3	5
"161"	0	0
"162"	2	0
"163"	0	0
"164"	1	0
"165"	1	0
"166"	1	2
"167"	1	6
"168"	0	0
"169"	0	0
"170"	11	10
"171"	4	0
"172"	4	0
"173"	8	7
"174"	0	0
"175"	0	27
"176"	1	0
"177"	2	0
