"cell"	"trueBulk"
"1"	"atricho"	"NONHAIR,LRC_NONHAIR"
"2"	"colu.dist.colu"	"COLU"
"3"	"colu.dist.lrc"	"COLU"
"4"	"colu.proxi.colu"	"COLU"
"5"	"colu.proxi.lrc"	"COLU"
"6"	"colu"	"COLU"
"7"	"cortex"	"CORT"
"8"	"cortex.dist.lrc"	"CORT"
"9"	"endo"	"ENDO,ENDO_QC"
"10"	"lat.rt.cap.dist.colu"	"LRC_NONHAIR"
"11"	"lat.rt.cap.dist.lrc"	"LRC_NONHAIR"
"12"	"lat.rt.cap.proxi.lrc"	"LRC_NONHAIR"
"13"	"lat.rt.cap"	"LRC_NONHAIR"
"14"	"metaphlo.comp.cell"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"15"	"metaxylem"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"16"	"phlo.po.per"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"17"	"procam"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"18"	"protophlo"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"19"	"protoxylem"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"20"	"protoxylem.dist.lrc"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"21"	"quies.cent"	"ENDO_QC,QC"
"22"	"put.quies.cent"	"ENDO_QC,QC"
"23"	"stem.niche"	"ENDO_QC,QC"
"24"	"tricho"	"HAIR"
"25"	"xylem.po.per"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"26"	"xylem"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"27"	"per"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
"28"	"phlo"	"XYLEM,PERI,PHLM_COMP,PHLOEM,STELE"
