"sim"	"sim.p"	"dim"	"spd.set"
"74"	0.2	0.4	6	"s0.2p0.4d6"
"183"	0.2	0.7	7	"s0.2p0.7d7"
"182"	0.2	0.7	6	"s0.2p0.7d6"
"75"	0.2	0.4	7	"s0.2p0.4d7"
"146"	0.2	0.6	6	"s0.2p0.6d6"
"327"	0.3	0.4	7	"s0.3p0.4d7"
"3"	0.2	0.2	7	"s0.2p0.2d7"
"8"	0.2	0.2	12	"s0.2p0.2d12"
"368"	0.3	0.5	12	"s0.3p0.5d12"
"367"	0.3	0.5	11	"s0.3p0.5d11"
"224"	0.2	0.8	12	"s0.2p0.8d12"
"116"	0.2	0.5	12	"s0.2p0.5d12"
"369"	0.3	0.5	13	"s0.3p0.5d13"
"261"	0.3	0.2	13	"s0.3p0.2d13"
"513"	0.4	0.2	13	"s0.4p0.2d13"
"297"	0.3	0.3	13	"s0.3p0.3d13"
"512"	0.4	0.2	12	"s0.4p0.2d12"
"17"	0.2	0.2	21	"s0.2p0.2d21"
"428"	0.3	0.6	36	"s0.3p0.6d36"
"332"	0.3	0.4	12	"s0.3p0.4d12"
"550"	0.4	0.3	14	"s0.4p0.3d14"
