"S1__con1"	"S2__con1"	"S3__con1"	"S4__con1"	"S5__con1"	"S1__con2"	"S2__con2"	"S3__con2"	"S3__con3"	"S4__con3"	"S5__con3"	"S1__con4"	"S2__con4"	"S5__con4"	"S1__con5"	"S2__con5"	"S3__con5"	"S4__con5"	"S5__con5"	"S1__con6"	"S2__con6"	"S3__con6"	"S4__con6"	"S5__con6"	"S2__con7"	"S3__con7"	"S4__con7"	"S5__con7"	"S1__con8"	"S2__con8"	"S3__con8"	"S4__con8"	"S5__con8"	"S1__con9"	"S2__con9"	"S3__con9"	"S4__con9"	"S5__con9"	"S1__con10"	"S2__con10"	"S3__con10"	"S4__con10"	"S5__con10"	"S1__con11"	"S2__con11"	"S3__con11"
"244901_at"	5.27338577155838	4.9779496526089	4.90949225911772	4.96229235153978	5.50605104675849	5.40591897563599	5.03135576218512	4.78596136604849	4.78023028804238	4.99915832153476	5.76621018868201	4.85359861416636	5.14015633357781	5.33519197107967	5.42869321690567	5.42396335898591	5.7340322175314	4.79727840729795	5.16092938619844	4.92073760698451	5.29683984365693	4.99953942722314	5.06170333464259	4.96012700751721	4.95043809749338	4.97526466020054	4.6858998297558	4.82289483456947	4.57813902740988	4.99742747425906	6.01864577113953	5.8875044283709	5.34620392086162	5.11923075242608	5.41085287833085	5.38964562740909	5.26043999555851	5.62554007503333	5.14865908387318	5.17987459310364	5.08523273042157	4.86229033058724	4.95457097001582	5.38776946361272	5.69011414876494	5.63443806712517
"244902_at"	5.02766015622875	5.23173077698465	5.18480883932935	4.41769788147145	5.01368798378571	4.90946221937382	4.70336557154925	4.763417093169	4.98258815174252	5.21448660405454	5.79049556977618	4.85201864555521	4.91561722593563	5.40616512665107	5.73287204486134	5.32404241860186	5.48406793137748	4.97067758037298	5.16173872310208	5.07453468683759	5.41652153860745	4.86254858460981	5.28967697446694	5.16199868058277	5.18745753146829	5.18285506444491	4.78080354964501	5.3068562880248	4.84735739220805	4.95656715197665	6.25475296230021	5.75497414628098	5.10661848406644	4.83426972383392	4.9737663181383	4.97991025932726	5.0095492116358	4.96007304644813	4.86263292989893	5.09549255485061	4.90418013757158	5.29849694829891	5.04984525336847	5.84351380502795	5.64744986508889	5.42833327114541
"244903_at"	5.07992690755808	5.24686297319369	4.90205872285749	5.5603783728318	6.51659709076698	6.96483147483828	6.68161075499376	6.68132235119202	5.38197120973242	5.44066679737241	7.44493590081238	5.43022065773563	4.99655827324675	5.67658782543061	6.89175484759684	5.9130598447617	6.94307616536997	5.23718785294686	5.83420632939133	8.55990452808365	6.2453713141773	5.10309347925052	5.79619389579934	5.38189300995898	6.47498743372488	6.18634683339165	4.96959391837314	5.74482958541098	4.54942377144556	5.6721133959929	6.63320790069579	6.03727367658881	5.03980868654478	5.28482062556046	5.61674483787677	5.31507932775629	5.32148946541937	5.27599905933658	5.21207268215933	5.39507837584773	4.98300799338248	5.2742636328409	5.00416627204329	5.69205077788509	7.89987160535317	6.42354283232336
"244904_at"	5.58984826220276	5.47957000592415	5.48868770735078	5.56223474091738	5.25519533922351	5.19877555456082	5.16611307235869	5.39622342608644	5.38561190622171	5.33143482432137	6.17757194970933	5.42186804898785	5.96311350531427	5.71605791327436	5.91348970576435	6.05525695080356	6.06188036630172	5.57067639727062	5.39105793563218	5.56952314777952	5.67424634198096	5.37617465999869	5.74400049075658	5.36666234257646	5.18542944883591	5.34184571264589	5.32877847012507	5.61009473309424	5.39511351355428	5.44036892705764	6.28094757971283	6.51241039916995	5.92222094778928	5.9714968272681	5.66497194069303	5.88232394205711	5.93834123875434	6.1796821814692	5.91479345349342	6.12516752109532	5.80333846174114	5.6876626662745	5.59600732224501	5.81587416292222	5.82882055489141	5.7666873228952
"244905_at"	5.3113146176783	5.49962096265757	4.97848255965075	5.16288899844332	4.9373125665187	4.96395634992935	5.05765263373397	5.01159412925411	4.95901468766036	4.98451272560432	5.1524825598318	4.91098790163595	5.01393258851775	5.08020852602288	5.13865972066565	5.00752420970277	5.20574930200669	4.78101793294291	4.81329037797181	4.74849910271251	5.02454415833692	4.90703995487617	4.93356931328034	4.77929268994476	4.81239217059617	4.84735228971502	4.99007317496378	5.09449396909752	4.71185956552727	5.06255571964339	4.99975652657861	5.64800035652031	5.0827413080328	5.31397526769172	5.23774135705177	5.12515882968134	5.2535835318453	5.21491441951258	4.84860389049302	5.12314891577125	4.68816039567719	4.67170479459449	4.88449788767573	5.00629600382945	4.7512233378584	4.80888954617536
"244906_at"	6.17058311361136	6.95311257598767	6.35556328586655	6.31587897859983	5.45685004461946	6.48338723068722	5.56808747737492	5.84598941308235	6.45247139382869	6.09028453161758	7.34167268391941	5.38377203839636	5.4810299924559	5.9053987993372	6.70359667898535	6.03777453187114	6.8728538934799	5.27051216555822	5.88244729439502	6.06565129611704	5.92013278221523	5.3483915035085	5.92260301294844	5.42279770359668	5.69349438644023	5.75671599410759	5.29493924443826	5.64910953617643	5.38237553436898	5.39762729019792	7.26677165896959	7.96043853055773	5.80656917283452	5.65837490058248	6.08406553538573	6.23654607049189	5.8536283466943	5.78116612486497	5.33705786522756	5.97164300658358	5.4056720620245	6.0545478920754	5.8424688414119	6.61520642247972	6.16221807733009	6.67727959432327
"244907_at"	4.60882541627581	4.28273641845271	4.70329507123681	4.79069293325237	4.4090066833373	4.35121998356756	4.48319449772857	4.4620185339083	4.41084727405021	4.61317516940125	4.65776175899619	4.53578483328482	4.6471322420834	4.61678021495232	4.55512520129153	4.53397819034611	4.57209739469641	4.28021906826598	4.4270274876437	4.4885072944964	4.61879300893149	4.57302781587299	4.376034944884	4.38790245774513	4.26518707641292	4.312311866246	4.37451973968837	4.45607203162333	4.44376895077004	4.62120575731054	4.63106314093807	5.22075052295699	4.6215287416148	4.84397661932216	4.58495358156747	4.53765739274247	4.5795234163301	5.01868225149551	4.8613890305512	4.85490201706056	4.39967079782549	4.62385217197914	4.41591602375764	4.57385713906222	4.45093114121131	4.62546939928487
"244908_at"	4.70919440444575	5.16703798793633	4.6851835198963	4.87709406397933	4.9149396561127	4.80897133927383	4.8568336605186	4.90429117530034	5.38554452357093	4.90853500566532	5.05347060897854	4.85198783193949	4.73521296854103	5.23782655681635	4.89978341899283	4.79017919745604	4.90495138724454	4.70007629014142	4.65024410289039	4.79985821640522	4.89978341899283	4.85891612002192	4.89250583640409	4.63299835322332	4.69167507674632	4.71490997444107	4.83894604677237	4.67059582690785	4.56469160328555	4.83716284700099	5.26382993676034	5.09410340061945	5.07434941520533	5.15392705875188	5.19224593555081	5.1930225108054	4.99003786612472	5.59724594288614	5.00556228974545	5.04969860385858	4.71950149684998	4.8888516979604	4.87095433356855	4.92319875335538	4.93353324180214	5.11604136675668
"244909_at"	4.82937662503024	4.81807007832075	5.25486989640178	4.96298013710806	4.97831258147257	4.86405954640584	5.10397778294477	4.87659592081102	4.63953627121356	4.89511657808552	4.93577008312226	4.55565819079317	4.82803037848661	4.80597901532591	4.66481363280643	4.87346359128726	5.22479724920094	4.49240066543626	4.70080576499844	4.5237276909593	4.6854101614816	4.66091141645874	4.67570348929668	4.5804971812938	4.59489201610353	4.58627439746715	4.71205810791663	4.6496220302313	4.63863490316565	4.7799935088073	4.90410116722173	4.98707203155042	5.00024577101985	5.01900750013946	5.03555294772915	5.3138030036285	4.97627503743065	5.3235020487163	4.84307739314973	4.72638476213352	4.6720236155644	4.70968716397069	4.83608597361874	4.73024403237166	4.72817994645567	4.81584189249392
"244910_s_at"	4.16884807893781	4.24092491682848	4.61019623843311	4.38110697578844	4.58189514086907	4.18406700186442	4.29913074201215	4.18149763957139	4.17018024294775	4.38399249350599	4.43126753954808	4.31496934592275	4.49007429676589	4.34155049631953	4.48978161297235	4.20450938016512	4.25762354581383	4.12870513429946	4.49740997027347	4.20854723350339	4.27564476737002	4.30692155108659	4.32435043039542	4.34356290624788	4.07263379987355	4.12044212329786	4.32226860090957	4.4133955567046	4.10938815895087	4.23416616153362	4.51042639360822	4.30439363821971	4.4564814174927	4.56440987222931	4.38300826188903	4.55576435034526	4.47458493959967	4.72872434109158	4.52319586427219	4.47934527098073	4.24285736118029	4.24571680075906	4.22499563305038	4.47235130025949	4.30007578708833	4.41545235239397
