"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"ORF110B"	6.187862	6.787542	7.498488	6.249384	5.151726	6.162154	6.237749	7.618942	7.579871	7.99077	6.946222	6.676078	6.95492	6.679731	6.017188	5.682128	6.433151	5.474683	4.478	4.82781	4.520327	5.018836	5.671219	4.816936	5.327882	4.473071	4.122502	4.13087	"hypothetical protein"
"PSAC"	2.944807	2.45791	2.862155	2.313841	1.920271	2.722762	4.911487	5.245808	5.887271	6.064104	5.986663	5.83977	5.978279	5.88067	4.583597	3.591811	3.592375	3.779814	4.329953	3.843138	3.852817	4.089324	3.391048	1.95067	4.453823	3.442959	2.177486	2.360412	"Encodes the PsaC subunit of photosystem I."
"NDHE"	4.956749	5.510974	5.770878	5.841015	4.653833	4.653368	5.989617	7.158123	7.980866	8.118682	7.383317	6.932956	7.16399	7.02886	5.886881	6.242572	5.559513	6.15711	4.900942	4.910727	5.872143	4.52142	5.05045	4.601523	5.214141	4.757074	4.475813	4.568054	"NADH dehydrogenase ND4L"
"NDHG"	4.243482	4.072965	4.154074	4.935179	3.350848	3.44774	5.980838	6.114851	6.754031	6.668285	5.978415	5.925548	5.417807	5.472213	4.043408	4.629639	4.537122	5.191696	5.25821	4.949627	4.610514	2.722494	4.398187	2.956616	1.956084	3.28821	3.152145	4.146181	"NADH dehydrogenase ND6"
"NDHH"	3.844318	5.372239	3.284845	4.759153	4.3743	5.32542	5.516018	6.054541	6.626642	6.617732	6.458455	6.004393	6.352984	5.445991	5.200394	5.282779	4.905555	5.652014	5.423499	5.133889	5.150906	3.433848	5.217384	4.600527	3.704958	4.596505	3.913859	4.869004	"Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4."
"ORF106B"	4.78739	4.921208	4.622454	5.438912	4.345077	5.430285	5.213698	4.996556	4.075528	5.498544	5.537316	5.039451	4.55406	4.954513	5.016434	5.64319	4.847223	5.350538	4.903728	4.201028	4.725612	3.243915	5.513509	2.861237	4.574403	4.277392	4.883135	2.386772	"hypothetical protein"
"ORF31"	5.682987	6.456887	5.967342	6.21456	5.706746	5.228803	6.86301	6.684018	7.995471	7.991039	7.586097	7.522603	7.647755	7.653192	6.047881	6.531274	6.004462	6.555407	5.456467	5.581575	5.761061	4.677797	5.135598	3.975226	3.53686	4.369283	3.824049	5.45841	"hypothetical protein"
"PETG"	4.8303982	5.5162601	5.3904177	5.3725066	4.1734636	4.9001379	5.4050024	5.9783008	7.0425656	6.9895695	6.6968491	6.3783975	5.8742393	6.5384397	3.8471138	5.5675107	5.4441038	5.1670202	3.5332187	4.5860939	5.1945583	4.3464782	3.956263	2.3506	4.4625634	3.0667735	2.8690275	0.7696971	"Cytochrome b6-f complex, subunit V. Disruption of homologous gene in Chlamydomonas results in disruption of cytochrome b6-f complex."
"PSAJ"	6.430693	6.659899	6.884766	6.929713	6.880352	7.815148	7.463764	9.447257	10.566613	10.474914	9.454893	9.733244	9.5623	10.076475	6.353386	7.317196	7.212839	7.379326	7.620252	7.684407	7.486736	6.459401	6.782907	6.864515	7.10404	7.062167	7.064082	7.139681	"Encodes subunit J of photosystem I."
"PSBB"	4.612253	5.268408	4.187782	4.245271	4.773237	4.053431	5.561203	6.835546	7.907766	7.782374	8.133339	7.606121	7.587308	7.468064	6.129318	6.773896	7.098164	6.778078	6.430206	5.286302	5.499836	4.468183	5.85342	4.549765	4.741826	4.766848	4.25494	5.094005	"encodes for CP47, subunit of the photosystem II reaction center."
"PSBT..PSBTC"	3.7367	4.187555	5.287334	5.54085	2.171948	3.476506	4.341827	6.203912	7.366906	7.358842	7.201974	6.668689	7.181779	6.794047	4.496971	5.909021	6.303726	6.000708	6.050129	4.552566	5.177429	3.706435	3.679592	4.12238	3.258715	3.95131	2.137867	2.277511	"Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn)., Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn)."
"PSBN"	3.867267	5.969037	6.541321	5.918328	6.029678	6.776318	7.109849	6.842497	6.865794	7.678018	7.760271	7.15787	7.281319	7.134188	5.597642	6.759928	6.975708	7.323582	6.796479	6.284417	6.247828	5.086273	5.27468	4.051414	5.566545	4.61453	3.639817	4.374085	"PSII low MW protein"
"PSBH"	6.374203	7.463099	6.441342	6.711872	6.124871	6.634956	7.513738	9.169357	9.791172	9.594774	9.77968	9.315862	9.262494	9.314413	7.483646	8.318566	8.366941	8.224843	7.744057	7.260191	7.751527	5.630648	6.549032	6.519757	6.633225	5.937773	5.724566	6.059482	"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII."
"PETD"	5.091082	5.462662	5.051505	5.046703	2.472843	5.454975	5.145495	5.497964	5.964594	6.273586	6.2394	5.530922	5.519406	6.13097	5.221541	5.50738	5.17531	4.392954	5.402602	5.696131	4.896153	5.087474	5.482931	4.934707	3.806113	4.308271	4.242188	3.819795	"A chloroplast gene encoding subunit IV of the cytochrome b6/f complex"
"NDHF"	2.259286	2.237261	3.511719	2.419103	2.067352	3.925359	4.098939	3.09333	3.992282	5.514595	3.414496	4.976484	4.913292	4.312358	3.147307	2.249271	2.940538	2.118802	3.26868	4.038929	2.320837	3.005495	1.891812	2.959885	2.388044	2.000829	1.354733	1.393196	"Chloroplast encoded  NADH dehydrogenase unit."
"ATPI"	4.440196	3.7949	4.660801	4.289071	3.651675	3.081171	4.527625	4.673889	5.666926	5.355392	5.34677	3.859274	5.079169	5.10237	3.527152	3.706781	4.500064	4.58208	4.738331	3.571964	4.529867	1.174585	3.767544	2.168602	4.305572	2.482518	2.193488	4.425549	"Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex."
