"RTTot__C"	"RTTot__H"	"RT35S__C"	"RT35S__H"	"RTSHR__C"	"RTSHR__H"	"RTWOL__C"	"RTWOL__H"	"RTSCR__C"	"RTSCR__H"	"RTot__C"	"RTot__H"	"R35S__C"	"R35S__H"	"RL11C__C"	"RL11C__H"	"RSHR__C"	"RSHR__H"	"RWOL__C"	"RWOL__H"	"RGL2__C"	"RGL2__H"	"RSUC__C"	"RSUC__H"	"RS22__C"	"RSCR__C"	"RSCR__H"	"RCO2__C"	"RCO2__H"	"RPEP__C"	"RPEP__H"	"STot__C"	"STot__H"	"S35S__C"	"S35S__H"	"SRB__C"	"SRB__H"	"SSUC__C"	"SSUC__H"	"SS22__C"	"SGL2__C"	"SGL2__H"	"SCER__C"	"SCER__H"	"SKAT__C"	"Descriptions.Canada"
"PLA..PLA2A..PLAII..PLP2"	3.29330617071082	3.08144122274116	4.77263844086617	2.20421868219651	2.58712166626072	3.01716011353656	4.11618143194056	2.40010309643367	5.25430225513596	5.54441225675771	3.7715993282948	4.77995332653405	2.65834215472221	4.89239898403046	4.6408441068694	4.89384152529664	4.06565652809562	3.29846063960652	4.12854332495679	3.99136931436553	3.9503780917077	2.75088303632547	1.71425814078031	2.24029536807428	3.60783324278947	4.16299792472537	4.93417465370345	6.43360257363133	6.12835533294187	2.03471292268555	4.098618032592	8.54129307883334	7.62012271445431	8.60537057028587	8.20823416541133	9.47485805804365	7.69480902481924	4.39410263600448	5.49076622032029	5.91953134414088	9.27740621192789	7.902668183546	9.14874987188043	7.53404755860266	6.9314431001864	"similar to latex allergen from Hevea brasiliensis  ;supported by full-length cDNA: Ceres:1999."
"ATCKX1..CKX1"	3.28515997224743	4.77177971133772	7.10525716001719	6.76156196858201	6.71325570745221	5.82623561886733	5.38008931107237	5.86114754333441	4.29411101736531	2.44306808360268	4.34324482834959	4.71757748958617	6.04194923371656	4.717793547878	6.1604956128176	6.69296322771053	7.43430532594377	6.77489930599963	6.19500629383591	5.90045817332551	5.05378290589249	5.66705711513841	3.05217665927118	4.56698247319214	5.63685813351822	2.57835772243044	4.96277733378778	5.96938408454555	2.48306996361526	4.24818192015259	4.39567070909786	2.59038898494081	2.40358257185503	4.10535572909784	4.53098966867211	2.19842880656024	3.5487141947137	2.47620307008674	2.24006718137494	4.01018532323232	3.02877756414364	4.22881312283644	1.14884869835556	2.09644895941626	4.47820105964845	"putative cytokinin oxidase"
"AFO..FIL..YAB1"	3.89182763240088	4.25168781418402	3.42550463400408	5.83882824035253	3.34994607898305	5.28897781871256	4.52856359593101	4.9629330174206	3.330510147815	4.15226024498316	2.36721541394306	3.74997995511775	1.89026240507367	5.01041664378728	2.25615421510909	3.78238718646092	2.12133038152393	3.61416455309866	1.32206510978511	3.83855698311005	2.40648558178762	2.91229544718353	2.72716732582187	3.48828012129579	2.23005475130663	2.55407438208184	3.99141645984463	1.82541788667399	4.05313627661723	2.42689453143042	2.49172963482346	9.13018817941671	8.54899362286568	9.29158265463024	8.8071931553156	9.26572813434205	9.18570840968835	6.73402798251009	6.33564407733757	8.74787403445595	8.85831522014516	8.85855169634181	9.72024161850385	9.47723338265979	8.9481315107121	"unknown protein predicted by genscan; supported by cDNA: gi_3822215_gb_AF074948.1_AF074948"
"AtERF71..ERF71..HRE2"	6.32333746248775	11.6625375863023	6.12255108402826	12.076967019986	6.48695099229084	10.7089278891242	6.72612103499109	10.7599621698649	6.29495574807474	10.9194432284256	5.61883588054992	12.0634917595157	5.39009741739313	13.0623692778701	4.41882953141331	13.7086473134988	5.3526235167277	13.3595089914544	5.17948476503607	12.8619000496456	6.04426694149675	12.5736026869069	3.24615258750322	11.7394084616209	4.72968992110985	5.57869465515224	12.5788398403882	5.79062334035672	11.6715956532437	3.5384236200223	12.1316058567801	7.15107803247683	10.8162054902076	7.97775214420349	11.65228629275	8.17757061583086	11.2459387439794	6.41411824304017	10.7939852175616	5.44775126965529	7.59541117140814	11.5292033225692	6.96837348023828	10.9567066545476	6.37896454642857	"putative AP2 domain transcription factor"
"ATOEP16.2..ATOEP16.S"	4.29483392266875	2.92283231767415	5.89939727310399	4.73800363177023	3.01903608780984	4.85312956371194	4.93974074010416	4.60105290123969	5.06785355041785	4.43884831730989	3.92264243258325	2.19366746825302	5.88891926156537	4.86553260594307	2.79230030140172	2.82906258945998	2.2057973992711	2.64390063102242	3.65459196028741	1.75142082102446	1.98122224046117	3.31752952684268	1.45478180315488	2.41745371303545	3.05538313340236	3.42835220582294	3.37819094864461	1.83179924034308	2.76941582563836	2.06168113553777	2.09982764403822	8.09923643162497	7.75602580003011	8.69416273423842	8.64230510614555	6.0071188844575	5.34560959149489	5.84170930345213	5.58329191370507	4.34656908053408	6.41731457890976	5.71657620562814	5.7436466338151	5.29055164376503	7.66916895647153	"pore protein homolog ;supported by full-length cDNA: Ceres:5714."
"AtBAM3..BAM3..BMY8..CT.BMY"	5.92910657337445	5.36007839407181	4.94623532157141	5.49572103593816	5.85647880333494	5.31342659752628	6.22234725287473	5.33223367119127	5.83895350453643	4.9834561469399	4.19963698483087	4.77396192148633	5.06009218955324	4.76649539872701	5.08189028788416	4.1883196084994	3.51134710159828	5.23695008796523	3.75611280759611	4.21897002992615	5.16424373656085	3.71042179450097	4.03068762843968	5.08425881304727	4.20782222811688	5.41682922154771	4.27579827689315	3.92801164292619	5.76133950187654	3.93482942962219	5.06223196711415	11.9617773866295	12.4258929171462	11.0468326180566	11.9784586121325	12.1565466063671	12.6386350455623	8.4059136766345	9.90102544998702	11.1905507562957	10.6762815043335	11.5558919336647	7.64664113556456	9.20136832130566	11.1908096969282	"putative beta-amylase ;supported by full-length cDNA: Ceres:36882."
"RPP4"	4.67091142390244	2.05084181994036	4.35724732522196	3.69819883609782	4.00639677286161	3.43468321912147	5.24231967568389	4.11901983383468	3.95566242675448	4.23504063548081	2.60511324230417	2.32478156781074	3.46416876891736	1.24285559325596	1.20952206435128	1.79127180342512	4.36324062133562	0.360597471386111	3.39669733947163	3.2154455196376	4.10406488247583	4.57151844274773	3.63308586502434	5.12803878469386	3.81145580508452	1.22313315397538	3.35488717869209	1.77240461032823	4.47547303246019	3.72847778575107	2.00856427093525	8.32449658060179	8.71111590541828	7.59575541093033	7.40623368501816	8.46407121615318	7.95232879407478	5.58632078876913	7.24394078433337	7.35926848322374	7.45845297486561	7.62126327631918	6.5270974269324	7.44231863927118	8.69415465054747	"disease resistance RPP5 like protein"
"UGT84A1"	5.14035603022653	2.79955590685868	2.75801688911861	3.00217209790692	3.0826688255799	2.3859634825366	2.10290332837483	2.65340002644925	2.46768522768531	4.31121687529818	5.72951808445069	6.18208802158041	2.11619381581703	4.23525729883345	4.88598096795305	6.87755901993751	3.74822138433893	5.04311084994773	4.92464175392768	7.05981137766662	4.57529313436451	4.56622448872537	3.51869451399057	5.73029098365432	5.23321603724195	4.25739161519381	5.67408695582821	4.5923039958352	4.89295355272391	7.967549545415	8.77648158251078	2.173819853678	3.98182557328443	2.71020484259628	2.45206703588696	3.32257144967071	3.71692428533777	2.65652393365968	2.31890178438797	3.71933041700028	3.09016838900482	4.73972775574821	4.32981732487547	5.93758657884748	2.37221122306447	"indole-3-acetate beta-glucosyltransferase like protein"
"FD.GOGAT..GLS1..GLU1..GLUS"	5.75557810403998	5.06526764666592	6.461015193141	6.38316596831835	5.50669992460979	6.69508203316097	5.75711669773343	6.92256215498049	5.87377048175061	7.03637285460058	5.76403826755225	4.56406445316622	5.65646840905642	5.42363346426847	5.44128499476854	5.02916914612031	5.25191667263341	4.71326909777645	5.34469799925814	5.38867614866686	7.49527807546238	6.65598726151393	8.39124424728764	7.60701569224586	8.15624329525251	6.09804036927158	2.25355072917654	6.29612249365131	3.36697121596198	6.12418447194576	5.91869013663165	13.6721412111408	13.670441314253	12.4718541030738	12.8113076794914	13.1613834662746	13.1722200980424	11.8758453761254	12.5576728523269	12.6144981439092	12.4781755443308	12.5461450590919	10.8904997221331	10.8958329783169	13.0332494254528	"ferredoxin-dependent glutamate synthase ; supported by cDNA: gi_3869250_gb_U39287.1_ATU39287"
"ATSOFL1..SOFL1"	2.32425405638272	5.06827058310458	3.91207879239126	4.97198617661588	5.00165926284958	5.28887040515059	5.89573041369443	4.99713453952483	5.53753015426025	5.62329694209899	2.90069089615052	3.58336892527646	1.86808328683243	2.38113028917718	1.00393531327533	1.88638050216568	3.76421310669928	2.03860244373242	3.78094673201706	2.25180700571836	4.26161726077566	1.81328770666152	3.00161378301347	4.02420843790587	4.13759974010352	2.31619076931965	4.1989383716671	4.01671865020334	4.87843157454752	4.50043506607728	2.58151272596577	7.61935318219392	6.17519622365489	7.74920257587444	6.77406891876589	6.90368307962893	5.75475914067697	7.55871650530419	6.23565748200953	9.19999802960092	8.23696806207464	7.09927015044565	10.2247246463195	8.72759478928908	8.20602019139537	"hypothetical protein similar to hypothetical protein GI:6524175 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:3618."
