"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Apoh"	5	21	880	137751	8	5	42	232	84323	1	11	25	621	109118	14	"apolipoprotein H"
"Cav2"	665	132	427	210	6814	585	55	601	68	6296	591	94	564	139	5192	"caveolin 2"
"Tbx2"	31	227	1069	97	2708	32	171	763	111	2748	23	213	1295	96	6799	"T-box 2"
"Scnn1g"	9	0	534	0	3145	5	0	643	0	2194	12	0	617	0	2964	"sodium channel, nonvoltage-gated 1 gamma"
"Lhx2"	659	1	105	81	0	777	5	0	68	0	1019	6	10	64	1	"LIM homeobox protein 2"
"Pemt"	28	27	19	11614	26	25	23	28	9727	28	38	46	34	7062	27	"phosphatidylethanolamine N-methyltransferase"
"Ckmt1"	5832	32857	651	8	423	3573	37986	887	3	227	6179	30040	1015	3	318	"creatine kinase, mitochondrial 1, ubiquitous"
"Cttnbp2"	2454	73	140	6	290	3414	91	276	14	224	2980	154	235	6	137	"cortactin binding protein 2"
"Acvrl1"	197	592	421	85	12352	130	963	501	183	11512	119	944	495	157	17460	"activin A receptor, type II-like 1"
"Haao"	5	68	4472	21721	112	5	97	4292	21429	172	5	113	7071	19987	94	"3-hydroxyanthranilate 3,4-dioxygenase"
"Abhd15"	13	46	27	551	23	7	18	24	714	37	11	33	39	925	30	"abhydrolase domain containing 15"
"Hoxb6"	1	6	508	1	34	0	17	557	2	47	0	17	392	3	111	"homeobox B6"
"Sult5a1"	7	8	42	2125	158	6	5	48	1643	214	14	19	45	1781	318	"sulfotransferase family 5A, member 1"
"Serpinf1"	299	33	34	26849	813	145	111	114	31991	413	133	181	24	26968	590	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
"S100a6"	116	379	201	39	3505	195	1120	566	54	4866	105	540	396	20	2506	"S100 calcium binding protein A6 (calcyclin)"
"Icam2"	24	70	186	104	2679	21	134	200	122	2277	14	190	150	46	2959	"intercellular adhesion molecule 2"
"Slc13a2"	0	2499	961	103	14	0	6845	1027	177	9	0	3484	1465	133	22	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
"Ftcd"	3	1	1210	27266	1	2	0	425	26659	1	9	0	984	23044	12	"formiminotransferase cyclodeaminase"
"Mxd1"	598	11067	419	331	826	513	11697	411	308	616	578	6476	400	389	894	"MAX dimerization protein 1"
"Sema6b"	1699	73	83	148	149	2065	105	68	144	133	2466	127	106	171	355	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"Ramp2"	252	130	268	285	5230	151	247	315	206	5785	209	317	317	157	7818	"receptor (calcitonin) activity modifying protein 2"
"Fndc5"	2666	91	86	76	92	1619	133	82	22	124	1689	154	91	26	188	"fibronectin type III domain containing 5"
"Ube2c"	3	585	22	6	34	8	612	15	11	43	5	477	28	29	44	"ubiquitin-conjugating enzyme E2C"
"Col18a1"	139	1477	2852	23936	857	134	1917	3779	56309	437	57	1615	4687	40156	2390	"collagen, type XVIII, alpha 1"
"Cldn15"	3	14658	287	24	206	2	20115	415	13	148	2	11494	325	6	170	"claudin 15"
"Folr1"	8	6	9510	2	7	192	25	9701	5	3	38	0	6629	3	1	"folate receptor 1 (adult)"
"Aif1l"	216	36	3689	5	113	166	15	4074	5	101	108	38	4799	15	92	"allograft inflammatory factor 1-like"
"Vwf"	191	188	81	120	7020	131	653	218	602	5662	153	469	110	296	12153	"Von Willebrand factor"
"Grik3"	2050	72	15	30	62	2571	17	3	1	0	3363	48	22	3	161	"glutamate receptor, ionotropic, kainate 3"
"Gria3"	5630	48	327	49	596	6901	49	295	37	338	6506	83	290	44	643	"glutamate receptor, ionotropic, AMPA3 (alpha 3)"
"Pdzd4"	2315	57	35	12	125	3118	51	46	21	105	2911	79	39	17	141	"PDZ domain containing 4"
"Pnck"	1639	52	10	4	70	1854	113	23	5	92	1808	160	26	3	64	"pregnancy upregulated non-ubiquitously expressed CaM kinase"
"Ltbp2"	9	236	5	49	1704	14	350	51	63	1103	5	571	26	55	3087	"latent transforming growth factor beta binding protein 2"
"Cd3g"	1	478	13	25	196	0	751	15	14	207	0	754	6	9	136	"CD3 antigen, gamma polypeptide"
"Napsa"	21	191	34831	16	4329	35	273	30123	10	4697	29	323	19925	15	3003	"napsin A aspartic peptidase"
"Ppm1j"	13	663	172	4	41	4	1134	78	11	62	9	1154	93	9	61	"protein phosphatase 1J"
"Peg3"	17713	262	978	1614	481	11748	116	552	190	363	11349	179	495	299	347	"paternally expressed 3"
"Pon1"	1	0	3	33396	3339	3	0	25	32245	1961	0	4	6	19891	1275	"paraoxonase 1"
"Gnmt"	15	11	424	57705	90	18	213	438	71896	85	20	271	1025	37830	101	"glycine N-methyltransferase"
"Epdr1"	2513	28	140	2	320	2099	42	238	14	382	2156	52	110	3	237	"ependymin related protein 1 (zebrafish)"
"Adgre5"	143	775	540	376	11309	123	906	1064	719	8412	142	1019	562	1001	15961	"adhesion G protein-coupled receptor E5"
"Bcam"	232	184	1847	64	7582	159	293	2525	188	6235	127	517	3035	113	12440	"basal cell adhesion molecule"
"Apoe"	13772	2147	1356	482938	5461	14454	6071	1306	522580	2407	16696	9222	2469	468097	5807	"apolipoprotein E"
"Elf3"	1	5059	417	32	435	3	6635	463	16	344	0	5099	595	41	371	"E74-like factor 3"
"Slc2a3"	3084	110	38	12	243	3758	105	38	25	339	4081	152	142	26	327	"solute carrier family 2 (facilitated glucose transporter), member 3"
"Sult2b1"	155	3280	37	5	42	237	6278	40	1	40	229	3503	34	3	57	"sulfotransferase family, cytosolic, 2B, member 1"
