"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"
"AI593442"	177	256	50	24	285	195	46	28	172	174	83	41
"Actr3b"	513	1465	228	244	666	929	157	519	479	665	280	337
"Adcy1"	701	1243	57	1910	836	997	55	2450	714	779	118	2500
"Adora1"	243	977	86	364	654	592	103	1133	349	579	228	662
"Agap2"	933	1582	281	271	1079	1703	285	566	1014	1502	422	421
"Ahi1"	179	425	1270	169	226	344	960	304	225	370	1424	229
"Ak5"	19	81	12	2	30	67	9	6	40	87	17	7
"Aldh1a1"	25	87	27	129	22	19	10	159	31	30	50	177
"Aldoc"	1208	2485	1508	3306	2208	1917	1619	7400	1600	1803	2340	5497
"Apod"	64	131	87	163	157	134	87	430	108	107	257	297
"Appl2"	32	89	28	249	77	64	38	304	44	68	72	332
"Aqp4"	64	239	110	400	183	215	143	515	171	207	228	635
"Arc"	9	47	5	13	19	35	7	7	318	106	25	10
"Arhgap21"	67	188	41	188	103	147	61	334	82	160	93	246
"Arhgap26"	386	335	264	591	572	265	258	1244	401	347	343	998
"Arhgap32"	773	424	177	151	1106	329	205	392	826	343	303	263
"Arhgap33"	22	23	5	3	29	12	11	8	39	21	16	4
"Arhgef7"	143	231	125	402	227	216	114	760	159	211	177	559
"Arpc5"	61	310	86	59	97	218	62	53	112	198	94	92
"Asph"	246	377	175	1135	347	299	168	2184	267	309	269	1699
"Atp1a1"	1157	1177	362	1843	2226	941	409	2936	1818	839	626	2910
"Atp1b2"	97	231	163	359	176	192	178	572	146	194	333	745
"Atp2b1"	2411	7520	744	1091	4037	6343	734	1541	3312	4564	1230	1636
"B3gat1"	501	1124	249	166	723	1045	234	277	561	733	292	240
"B630019K06Rik"	43	79	242	44	68	80	195	75	63	88	292	81
"BC029722"	87	168	108	360	145	163	94	524	117	163	170	463
"Basp1"	2210	2682	1462	64	2955	2481	1454	79	2536	2806	2110	72
"Bcl11a"	226	392	55	36	296	386	47	71	228	320	82	52
"Bcl11b"	229	1471	73	9	324	1090	43	4	266	727	173	8
"Btbd3"	228	561	127	783	238	434	105	1209	243	351	204	1110
"Cacna1a"	226	405	82	662	370	334	101	753	343	342	175	1246
"Cacnb4"	577	504	209	959	937	388	207	1243	683	357	259	1262
"Cacng3"	90	72	16	4	106	65	23	8	90	52	29	5
"Cadm3"	677	866	389	1604	828	854	391	3875	682	676	471	2013
"Cadps2"	41	77	23	127	34	61	29	187	16	54	31	215
"Calb1"	126	224	215	1054	147	164	190	1640	169	181	221	1642
"Caln1"	270	511	98	729	328	393	89	1344	285	454	208	1000
"Camk1d"	352	731	127	208	489	785	135	161	425	624	202	323
"Camk2a"	7365	15079	1161	259	10250	15044	1099	592	9413	12968	1948	430
"Camk2d"	66	30	103	238	59	32	93	194	67	55	155	258
"Camk2n1"	18548	10400	2564	1879	31275	10010	3281	4043	23721	9779	5559	3959
"Camk4"	325	288	77	1190	327	205	54	1408	272	209	87	1153
"Camkk1"	63	350	73	66	218	223	62	59	122	183	104	87
"Camkk2"	819	807	119	1007	1530	692	126	1496	1092	522	264	1654
"Camkv"	719	1801	410	8	809	1540	423	25	681	1483	538	15
"Car10"	218	73	103	296	270	53	98	420	222	72	151	427
"Cck"	488	732	21	57	753	674	57	101	612	520	52	87
"Ccnd2"	288	770	143	90	391	571	172	156	578	839	278	86
"Ccnl2"	60	172	73	256	131	164	74	454	100	138	121	341
"Cdk16"	725	783	233	1060	961	761	232	2036	882	694	424	1788
"Cdk19"	192	247	55	300	252	229	71	792	203	194	132	533
"Celf5"	282	595	151	54	388	498	113	49	355	460	191	51
"Chn1"	596	1245	137	77	884	1019	146	96	693	816	215	116
"Chn2"	153	152	127	2463	213	119	139	3404	176	142	283	3585
"Chst1"	1118	2535	709	186	1842	1973	653	439	1590	1819	980	247
"Cited2"	42	54	59	209	47	48	55	102	46	73	93	307
"Ckb"	2887	2682	1783	3825	3880	2633	2005	9460	2972	2168	2761	6433
"Clec2l"	77	84	32	165	87	75	39	258	62	60	53	194
"Clip3"	185	215	158	273	260	215	125	705	210	185	219	457
"Cnih2"	53	355	46	17	91	268	35	28	85	202	66	32
"Cnksr2"	450	1075	68	278	829	857	73	464	554	616	127	463
"Cnr1"	56	90	50	238	71	97	25	179	55	102	53	284
"Cobl"	71	16	38	6	155	13	33	10	102	29	42	2
"Coro2b"	77	156	41	121	138	148	52	374	90	158	63	287
"Cpne4"	32	136	26	2	63	133	22	3	60	126	34	3
"Cpne6"	63	546	49	3	90	481	68	5	75	382	92	2
"Crym"	79	409	11	0	99	327	7	0	93	466	37	0
"Csdc2"	2	10	8	18	11	18	10	49	13	19	15	39
"Ctcf"	237	508	205	411	349	357	188	1149	305	406	302	763
"Cttnbp2"	65	212	18	39	98	167	25	86	96	187	40	82
"Ctxn1"	234	270	71	2	238	244	69	4	181	223	79	1
"Cux1"	40	37	39	128	71	46	33	138	66	42	65	177
"Cx3cl1"	1146	1540	392	88	1611	1311	383	68	1541	1135	600	122
"D430019H16Rik"	135	590	241	7	215	427	265	22	182	434	339	8
"Dab2ip"	343	393	207	787	496	315	192	1442	374	295	286	1078
"Dbi"	437	1215	880	1855	739	991	1261	4674	627	918	1402	2940
"Dbn1"	138	241	94	34	138	254	82	25	136	208	95	47
"Ddn"	340	1415	53	1	464	1382	48	4	392	877	83	2
"Dgat2"	40	109	17	13	68	82	26	25	36	71	34	14
"Dgkz"	941	1206	170	1445	910	1415	176	2039	873	1036	234	2122
"Diras2"	333	351	50	431	463	344	85	1036	331	273	91	654
"Dixdc1"	39	92	44	123	58	70	30	189	45	64	51	145
"Dkk3"	128	221	27	2	241	144	31	9	148	169	30	11
"Dlgap3"	86	169	20	42	148	98	31	47	105	88	32	45
"Dner"	124	378	377	920	274	309	352	1871	208	323	520	1586
"Ednrb"	33	66	104	145	51	69	118	240	44	55	171	199
"Egr1"	325	444	46	122	777	418	42	132	2602	923	466	241
"Enc1"	1057	2683	289	20	1682	2705	303	14	1559	1741	398	23
"Enpp2"	246	1050	203	1071	444	245	285	532	323	307	433	299
"Epha4"	282	856	87	32	417	735	79	52	332	487	122	69
"Epha5"	60	194	62	15	97	216	80	28	80	151	97	25
"Ephx4"	23	18	2	13	27	38	6	3	39	21	4	14
"Erc2"	403	779	220	95	412	635	169	197	403	708	287	130
"Etv1"	162	218	14	558	274	203	30	523	170	202	47	874
"Fam107a"	98	145	56	235	119	111	45	237	147	158	100	380
"Fam131a"	518	1102	176	228	705	1289	134	33	655	955	197	410
"Fam163b"	42	154	17	6	70	104	12	2	74	56	28	2
