"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000000112"	116072	116072	19399	19399	51122	51122	34	34	23	23	25	25
"ENSGALG00000000120"	0	0	0	0	0	0	2151	2151	52	52	58	58
"ENSGALG00000000184"	5	5	29	29	26	26	4	4	24	24	77	77
"ENSGALG00000000293"	111	111	91	91	38	38	37	37	147	147	29	29
"ENSGALG00000000341"	0	0	0	0	0	0	0	0	0	0	1	1
"ENSGALG00000000441"	8	8	9	9	39	39	0	0	7	7	7	7
"ENSGALG00000000451"	18	18	9	9	12	12	1	1	0	0	1	1
"ENSGALG00000000918"	52	52	151	151	100	100	9	9	8	8	8	8
"ENSGALG00000000919"	0	0	6	6	5	5	0	0	80	80	3	3
"ENSGALG00000001031"	6	6	12	12	3	3	4	4	3	3	1	1
"ENSGALG00000001097"	4	4	0	0	0	0	1	1	1	1	0	0
"ENSGALG00000001172"	1953	1953	977	977	1876	1876	17	17	21	21	3	3
"ENSGALG00000001282"	972	972	3100	3100	648	648	7	7	11	11	4	4
"ENSGALG00000001418"	2	2	0	0	10	10	12	12	0	0	2	2
"ENSGALG00000001533"	17	17	26	26	16	16	10	10	13	13	8	8
"ENSGALG00000001573"	2	2	8	8	14	14	5	5	14	14	12	12
"ENSGALG00000001695"	18	18	7	7	25	25	0	0	2	2	0	0
"ENSGALG00000001863"	157	157	226	226	130	130	0	0	75	75	0	0
"ENSGALG00000001866"	10	10	0	0	14	14	1	1	3	3	1	1
"ENSGALG00000001935"	3	3	5	5	0	0	0	0	0	0	1	1
"ENSGALG00000002152"	215	215	372	372	401	401	0	0	3	3	1	1
"ENSGALG00000002318"	26	26	18	18	15	15	18	18	11	11	18	18
"ENSGALG00000002319"	49	49	29	29	45	45	10	10	4	4	6	6
"ENSGALG00000002325"	8	8	17	17	8	8	2	2	6	6	7	7
"ENSGALG00000002350"	157	157	184	184	44	44	71	71	80	80	8	8
"ENSGALG00000002397"	242	242	238	238	279	279	93	93	402	402	102	102
"ENSGALG00000002407"	215	215	220	220	129	129	21	21	24	24	64	64
"ENSGALG00000002428"	68	68	79	79	91	91	0	0	1	1	25	25
"ENSGALG00000002432"	184	184	225	225	102	102	0	0	0	0	0	0
"ENSGALG00000002496"	3	3	3	3	4	4	0	0	0	0	0	0
"ENSGALG00000002511"	17	17	6	6	10	10	39	39	17	17	10	10
"ENSGALG00000002554"	9267	9267	424	424	1056	1056	600	600	280	280	499	499
"ENSGALG00000002637"	1	1	2	2	2	2	210	210	48	48	248	248
"ENSGALG00000002692"	0	0	3	3	1	1	0	0	0	0	0	0
"ENSGALG00000002792"	1	1	2	2	1	1	0	0	9	9	0	0
"ENSGALG00000002931"	0	0	0	0	0	0	4	4	1	1	5	5
"ENSGALG00000002992"	197	197	172	172	200	200	0	0	3	3	5	5
"ENSGALG00000003013"	62	62	49	49	17	17	1	1	0	0	1	1
"ENSGALG00000003058"	45	45	77	77	63	63	8	8	47	47	10	10
"ENSGALG00000003242"	19	19	21	21	4	4	24	24	21	21	17	17
"ENSGALG00000003258"	203	203	151	151	162	162	69	69	33	33	42	42
"ENSGALG00000003354"	34	34	327	327	124	124	12	12	8	8	10	10
"ENSGALG00000003464"	250	250	224	224	230	230	5	5	3	3	13	13
"ENSGALG00000003545"	23	23	15	15	22	22	2	2	6	6	8	8
"ENSGALG00000003624"	31	31	39	39	47	47	7	7	41	41	18	18
"ENSGALG00000003836"	12	12	16	16	9	9	32	32	5	5	17	17
"ENSGALG00000003863"	25	25	310	310	86	86	32	32	454	454	242	242
"ENSGALG00000003908"	339	339	9	9	2	2	0	0	0	0	1	1
