"root_total__control"	"root_total__hypoxia"	"root_p35S__control"	"root_p35S__hypoxia"	"root_pSCR__control"	"root_pSCR__hypoxia"	"root_pSHR__control"	"root_pSHR__hypoxia"	"root_pWOL__control"	"root_pWOL__hypoxia"	"root_pGL2__control"	"root_pGL2__hypoxia"	"root_pSUC2__control"	"root_pSUC2__hypoxia"	"root_pSultr2.2__control"	"root_pCO2__control"	"root_pCO2__hypoxia"	"root_pPEP__control"	"root_pPEP__hypoxia"	"root_pRPL11C__control"	"root_pRPL11C__hypoxia"	"shoot_total__control"	"shoot_total__hypoxia"	"shoot_p35S__control"	"shoot_p35S__hypoxia"	"shoot_pGL2__control"	"shoot_pGL2__hypoxia"	"shoot_pRBCS__control"	"shoot_pRBCS__hypoxia"	"shoot_pSUC2__control"	"shoot_pSUC2__hypoxia"	"shoot_pSultr2.2__control"	"shoot_pCER5__control"	"shoot_pCER5__hypoxia"	"shoot_pKAT1__control"	"shoot_pKAT1__hypoxia"	"metadata"
"NDHE"	4.76458924175	4.77516257466667	4.15534878233333	4.221337578	4.8276162655	4.886576294	4.539414636	4.740780341	4.479463369	4.7703168025	4.56725139666667	4.624947421	4.4332774685	4.702076311	4.4428330605	4.943613548	5.0235443555	4.4424766575	4.463307822	4.08244172	4.35668866	8.487519977	9.03910568833333	4.68755278	4.9057645675	5.503720191	5.3939446205	4.966881407	4.790271744	4.7894761995	5.576845412	4.552982422	6.146572972	7.161095285	9.5196789585	9.140896511	"NADH dehydrogenase ND4L"
"NDHI"	8.46981672975	7.962216381	5.30185658766667	5.067327592	7.0700923235	7.984016783	7.114954633	7.8586897275	6.642730471	7.993203283	6.890182234	7.5232536575	6.94070972	8.2078342965	7.2111322375	8.31350671	8.974460419	5.359390509	6.8381039855	4.9934041285	5.5461469525	12.81902669	13.2172096133333	9.3821572015	9.7782761185	10.537182705	10.257059085	10.137256692	9.672936042	10.65750443	10.783405265	10.2514012095	10.88179247	11.54675269	13.31091891	13.160599575	"NADH dehydrogenase subunit"
"NDHA"	5.52565542425	5.44601617733333	4.260321391	4.5832874595	5.0959713705	5.2370410865	5.0291161405	5.3185740315	4.7975364135	5.381833786	4.71048314066667	5.0456654805	4.9208160625	5.3411335775	5.189184234	5.7147013885	5.974239414	4.4089429645	4.78734601	4.0273003915	4.4830840315	10.9065571266667	11.44170415	6.46014159	6.9988392975	8.1247376515	7.54781309	7.5424851755	6.5599509045	8.2438430925	8.5555761885	7.760347472	8.9016718765	9.515030459	11.056719265	11.300889015	"NADH dehydrogenase ND1"
"RPL32"	7.28019921725	7.47021367766667	4.53777384533333	4.110719536	5.252035153	5.755908423	5.4179018865	6.1593715065	4.875665949	5.3974404385	5.726334323	5.232298944	5.1045797825	5.8444732935	5.2454869	6.2280539375	6.739586521	4.3723508675	5.3022579445	3.8014183325	4.146232073	11.0025868666667	10.8697351733333	7.045671319	7.993231287	7.916313747	8.144366515	8.375263137	7.984519139	7.0491658675	7.4703422245	7.89712586	8.724934313	9.84415114	10.23495222	10.0838411085	"ribosomal protein L32"
"NDHD"	7.762650261	7.494744716	4.915587234	4.998010251	6.6887884095	6.883437615	6.4162178985	7.00235355	5.8257659595	6.8900384035	6.33836660633333	6.687728406	5.9849091445	6.889039659	6.4865710645	7.0515444645	7.1000793535	5.1643837655	6.0041042115	4.6667884265	4.9642477215	12.2089527766667	12.52267912	8.765129079	9.0609453285	9.44146696	9.884479234	9.100114844	9.0536505095	9.5468386325	10.1921623	9.344880542	10.318973155	10.542621175	12.369716035	12.305351055	"NADH dehydrogenase ND4"
"ORF31"	5.031876265	5.63816741666667	3.98008392966667	4.0736214045	4.1940608335	4.1722203535	4.167170106	4.247229678	4.1020836925	4.0334516965	4.233958868	4.3633786385	3.9757370655	3.942530648	4.1120769625	4.296592523	4.100853363	3.9889368855	4.175882879	3.9660797965	3.9585597935	10.63630779	11.1557210266667	6.0654595515	7.093058258	7.646104127	6.75835734	7.6998068015	5.6582559815	5.0750136895	6.7308836575	6.053222937	8.03429746	8.834361607	7.7928125925	6.990572396	"hypothetical protein"
"PSAJ"	5.65439609025	5.59586067466667	4.106037178	4.231528914	4.7904793735	4.838313397	4.826460093	4.6495184505	4.563481811	5.002335917	4.81560728866667	4.691265621	4.5800272975	4.609261472	4.532876387	5.166501269	5.1292368685	4.1732473905	4.3055088285	4.2082520405	3.882044145	11.4741343633333	11.20765909	6.8259910695	7.3166155005	7.826178872	7.495142451	7.821280795	6.7502261445	5.4896838355	6.115040333	6.2855113755	7.2380495875	7.5091350875	8.966512798	8.7405817875	"PSI J protein"
"PSBB"	5.32129216425	5.20097549066667	5.009185721	5.0473896305	5.5906772635	5.7323282665	5.255118509	5.707888714	5.2422205965	5.901856221	5.244049486	5.3101767575	5.187140053	6.0574602535	5.2194813555	5.921886896	6.0012635925	4.6689831995	5.31912104	4.7781256555	4.8197548085	10.086054642	10.5098411796667	6.782474732	7.236399441	8.1231472505	8.0544136915	7.5898957475	7.5569101715	6.5778718565	7.599321757	6.5918636	7.7336885685	8.252953278	10.56742444	10.945098335	"PSII 47KDa protein"
"PSBT.PSBTC"	3.954410889	3.906003799	3.75996468766667	3.7927987605	3.968274955	4.0035306805	3.990387655	3.9588398585	3.816652663	4.2104306095	3.996986275	3.796276916	3.8117382635	4.0425927695	3.8654741945	4.109416967	3.9633305695	3.912560484	3.911352771	3.79856726	3.715430438	6.98755750566667	8.16384875166667	4.220501509	4.5336123975	5.5561631495	5.322184953	4.487496041	4.368200659	4.1946764925	5.154706921	4.4283174405	5.5701376555	5.9371894705	8.727898761	8.4343427435	"PSII T protein"
"RPS8"	4.72265526275	4.74165617466667	3.843995403	3.8539398775	4.219327698	4.4065787395	4.2173349535	4.239049686	4.1333958895	4.2440895775	4.238288232	4.307992054	4.0027272265	4.2046861785	4.103681795	4.4259864705	4.5780117825	3.9100375435	4.1617888645	3.8345685515	3.8709226265	8.36151852233333	8.49096556233333	4.033804647	4.025272622	4.4203800545	4.2858417125	4.134366059	4.2218935385	4.190855196	4.6748917245	4.0876935915	4.9380601335	5.5615783675	7.595127073	6.485830028	"ribosomal protein S8"
