"embryo0hA"	"embryoColeoptile1hA"	"embryoColeoptile1hN"	"embryoColeoptile3hA"	"embryoColeoptile3hN"	"embryoColeoptile12hA"	"embryoColeoptile12hN"	"embryoColeoptile24hA"	"embryoColeoptile24hN"	"coleoptile48hA"	"coleoptile48hN"	"coleoptile72hA"	"coleoptile72hN"	"coleoptile96hA"	"coleoptile96hN"	"coleoptile72N24A"
"Os01g0111600"	12.1167070090971	12.9343197298348	12.7087756436993	12.0811880139904	12.5313585475405	7.62830943376985	9.79977163281115	5.14113852572927	7.9041700372666	3.48640880454013	6.45446960114066	0.461038788104126	0	3.06428419826274	0.42314552682288	0.379525449198218
"Os01g0106300"	2.54985513659396	0.240338728596999	1.90231462386225	1.29849165699285	1.35728227421119	3.28924636773548	2.98252496047053	6.56075741939577	3.2339267049736	8.81570213577381	2.93187954562742	10.6537273618268	3.49743845097152	6.67989357206519	3.94540253880435	10.3401150432775
"Os01g0127600"	6.49587560677011	7.30245943877961	7.44352447691965	5.42395030345672	6.91978571557873	3.63853013403418	0.940277565782888	2.97488171702692	1.03125129259403	2.51341009739387	1.3467869500416	0.699351542636931	0	0.571876801355203	0	0
"Os01g0154000"	6.97621287567343	7.57865690765504	7.40395411370779	6.16273703788675	6.71824411953512	1.92789995010884	2.03924623472322	0.963086567988412	0.836377879688041	0.261514728889258	0.635901981919962	0.740749962958664	1.4566235128618	0	1.06689839293765	0.790905572817493
"Os01g0155200"	9.31465176959109	9.52202405258388	9.11832500826791	10.3694866248432	9.04596677648076	4.80928245071752	6.00973774246208	1.67068200448787	4.03222080711908	0.74080110066819	2.47793620690834	0.279711174854538	0	0.875807952722554	0	0
"Os01g0159600"	15.3648703439215	15.4598084741757	15.4218943541963	14.9020522240808	15.4661246801063	7.63624264221596	7.91543574898948	5.23294837992044	6.1809641167634	2.41792943333635	3.42959109030485	1.22595437307084	2.68625026945468	2.47374909504729	3.06993335787486	2.36096421574856
"Os01g0165600"	0	0	0	0	0.408836451570913	2.69974383712638	2.5913643160248	4.26072218342467	3.79935441931228	5.06734430199295	5.68878616665929	5.29765275685892	7.79120490519307	2.4100563322994	7.71963699578994	5.9854673935936
"Os01g0168800"	1.50334535602652	0	0.269775118297129	0.997115457110957	0.867287526310604	3.22251215820897	1.31488225288731	6.86193748318064	0.842619584653274	9.24323767938214	1.65936683800833	8.55775037830353	3.09870475240451	6.13202312479282	4.18959383222425	8.64449893136605
"Os01g0170000"	9.7913518084874	9.66105676185908	9.67071262430968	9.00927040191178	9.39836223781814	3.95885339629022	4.06670855401766	2.28648730156607	1.77371626405573	3.79809211393613	0.485434596756831	4.62648061272899	0	4.31455551038343	0.840081321428114	3.31532903553465
"Os01g0173600"	0.686506163799749	0	0	0.369164638427129	0	8.60041874835741	3.65361999617469	8.28746541695098	3.00471984579428	6.77570123857368	1.6437544928115	9.6963685187511	0.27493020177747	4.15726180201888	0.443828255875168	10.3828298163702
"Os01g0176500"	0.722102694762854	0.578824560587498	1.30121820485795	0	0.556870163703298	6.75610656175503	1.13010883356969	10.37326158376	3.94258386532618	10.4446861615863	6.47455009274553	8.53272511084418	7.11115386646148	6.88461221746276	8.26744735197452	8.23663477273097
"Os01g0185900"	0	0.37169961271703	0	0.997115457110957	0	6.48148106184606	5.02056295904534	7.98224965763778	6.39731528046925	7.98275667846547	6.24705750343639	8.45900496879519	4.3228254598697	9.4007378695415	4.96548861168854	9.26145366741946
"Os01g0201100"	1.69193806613814	1.92920089956016	2.13320410715138	1.75058148819808	1.45917959269644	1.01905037921192	0.635553575027919	5.25203999241936	0.675360198840669	5.20515111324218	1.03119028827629	6.6109933826821	0.287865534713074	7.51386801705189	1.0885221440896	7.420034475579
"Os01g0216000"	1.35800740416008	0	0	0	0	7.46994202480632	0	11.3310079612838	1.17874684489334	11.1922867029051	1.92873292226684	13.1545871046043	3.29595006849764	12.1954773397357	7.04677930409433	13.4710688089563
"Os01g0225500"	0.372324954552494	0.37169961271703	0.681983428671576	0	0	4.71929556346575	0	8.06087951283541	0	7.75422168691638	0.251780177119217	7.92035732102563	1.16355039648669	4.50568148409583	1.28115381452926	7.78564670050335
"Os01g0233100"	0.349777740210361	0.399851067701309	1.12943134051146	1.20347703917908	1.05780168403979	4.67913424420457	0.304723990754969	7.6986873453697	2.46744705562005	7.34366709619489	4.07412757606709	5.71605717503757	4.39639543920842	4.3383351306229	5.66012181225934	5.13243404809334
"Os01g0234200"	0.724029256506461	0	0	0.351232060068888	0	0.276815060805695	1.44847284528528	1.64737980636294	4.85079058845404	0.491552074020444	7.03889081684143	0.405016717355797	8.07838643848343	0	7.84167033851919	1.18283918186965
"Os01g0249200"	0.372324954552494	0	0	0	0.690741963035033	0.680056207426287	0.304723990754969	3.70617585653152	0.842619584653274	7.28846067751328	2.96629012377563	7.85574751836841	2.87598842017914	7.84187406431817	2.98631816432816	7.76872611684581
"Os01g0276300"	9.60782861780779	9.55954236315797	9.64879418608585	7.10390999035647	9.00634345893245	2.29271220521552	2.99169750003728	0.82395239423857	1.2768152012905	0.93946453550184	0.256191777465283	0.984693273576518	1.08169657840653	0.875807952722554	0.396253065552946	0
"Os01g0291500"	0	0	0	0	0.28190551146412	8.29990257129061	1.79422163989135	10.6009718995171	3.45988458411134	11.1764088199567	5.07529160200817	11.148138825029	1.04547928418669	11.257537613616	0.42314552682288	10.994880332578
"Os01g0294700"	0.372324954552494	0	0.240421446027951	1.9486868540397	0	10.1508100883092	4.28561720496405	12.0285909807525	7.70200208141746	11.8019026126228	8.78523383711311	13.2191594960112	11.0013498720922	9.11278220313342	11.5893397556841	13.6674824564313
"Os01g0296450"	0	0	0	0	0.408836451570913	5.40504531280507	6.62003442565176	5.00841725440504	6.71268428562358	5.02657754009882	7.13771998489526	5.67351917675701	7.92735473118792	1.89803616485462	7.34499672471255	5.17080142017386
"Os01g0296700"	0.349777740210361	0	0	0	0	9.27070516008407	8.41708209816908	9.51091242624515	9.07712839503658	8.88275251478344	9.45442318940599	8.99070273663854	10.3517831872883	5.370647657165	9.57822596264616	8.53766535136087
"Os01g0306400"	8.94059894549957	9.963834261946	9.3588497775918	11.0719139936048	10.2904666799399	4.66255325576421	6.63329529239091	2.11187103682586	4.26503883223482	1.14031404875195	2.61850381048967	0	0.27493020177747	0	0.42314552682288	0.629801506717585
"Os01g0326100"	0	0	0	1.33915438090757	0	5.34491639629207	1.56090985005066	8.08916344525125	3.45988458411134	6.6323867314893	4.70503511921853	7.41100266957165	7.78458872774323	9.37043182874514	8.68196565956876	8.79261492108054
"Os01g0326300"	0	0	0	0	0	4.61122633444713	0.304723990754969	8.82742612821287	3.35641963749365	8.61313574496501	5.343102833191	10.199429258482	9.05023777590071	11.0001789953584	10.5062109536078	10.8963785704236
