"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"
"ENSMUSG00000007907"	0	0	0	0	0	0	0	0	13.9904780498748	0	0	0	0	0	4.47230702757616	0	13.6766042874256	0	0	0	5.82290118425076	0	0	4.26631697220629	0.455561264753473	13.8968348857085
"ENSMUSG00000004366"	10.8371197445695	8.84118787576201	0	0	0	0	0	0.458671262680057	0.71017205295216	10.8973091010723	9.97403119582736	0	0	0	2.85488855474908	0	0	11.3656719764625	9.76563634628456	0	0	0	0	0	0	0
"ENSMUSG00000008813"	0.733725728375619	0	0	0	1.15241224816722	0	5.16833865389876	0	11.9644661582804	0.570402575211101	0	0	0	0	4.1051448451334	0	12.0417267103652	0	0	0	3.45019110197595	0	0	3.578484864851	0	12.4280121868578
"ENSMUSG00000014351"	0	10.7863884535562	0	0	0	0	0	0	1.18396183347295	0	12.072319200271	1.08742403594832	0.918859698348115	0	0	0.485642932241303	5.83061298618029	1.33866141371265	11.2995394916331	0	2.7986440323331	0	0	0	0.801268266634434	5.41315296964358
"ENSMUSG00000017311"	0	5.25792265129821	0	0	0	0	0	0	3.30800970653661	0	6.19823973293275	0	0	0	0	0	5.09857852014457	0	6.86607724208096	0	0	0	0	0	0	4.78029476003362
"ENSMUSG00000019900"	0	5.97972744868592	0	0	0	0	0	0	6.51273079399186	0	5.24732090326568	0	0	0	0	0	5.55464983495736	0	4.68833395787105	0	0	0	0	0	0	5.53585964232568
"ENSMUSG00000020481"	0.733725728375619	0	0	0.651037389025403	0	0	1.73582359978903	0.458671262680057	13.3731510203772	0	0	0	0	0	2.85488855474908	1.13791605988997	13.7816947045427	0	0	0	5.48191199653012	0	0	3.578484864851	3.13711658909774	13.8561956035633
"ENSMUSG00000020581"	0	11.8838136343235	0	1.09801109946042	1.15241224816722	6.04323933485821	0	1.52174304647493	0	0	12.2034897112638	0.643829802282914	0	4.49442795113007	0	0	0	2.02088649781001	11.5898015300271	0	0	0	4.4228907161364	2.21684194459461	0	0
"ENSMUSG00000020636"	2.80040342141753	0	0	0	0	0	1.11459884045203	0.806159896991477	13.376519771934	3.91295622721373	0	0	0	0	4.38890062853151	0.848333056012853	13.7786465128027	3.11200400614133	0	0	5.71794513333238	0	0	3.578484864851	0	13.8989800170016
"ENSMUSG00000021081"	0	0	0	10.2043311968651	0	0	0	0	4.18364361521102	0	0	11.580774122742	0	0	0	0	5.79427708091764	0	0	0	10.468608938038	0	0	0	0	4.56662597353489
"ENSMUSG00000021216"	0	11.2867621661974	0	0	0	0	0	0	5.21924423792262	0	11.4627951503188	0	0	1.18082904272281	0	0.485642932241303	5.59745467230533	0	10.6227560850766	0	0	0	1.31455528199201	0	0.455561264753473	5.34765012894284
"ENSMUSG00000021612"	0	5.33003682307909	0	13.190115653245	0	0	1.73582359978903	0	2.60596686402397	0.978104635430993	3.35698978920052	13.7079058821853	0	0	1.80479308530922	0	1.64301046227468	0	3.95015120754674	0	13.7071880477291	0	0	4.26631697220629	0	0
"ENSMUSG00000021789"	0	0	0	0	7.33265139914696	15.9333723007241	1.11459884045203	1.32025478249252	1.54002609571282	0	2.4913408644888	0	6.02513216516509	16.2835020138649	0	0	2.88156788655128	0	0	0	0	6.27398035365637	14.5110083998079	0	0	0
"ENSMUSG00000022155"	1.21776181125557	0	0	0	0	0	2.50115672386141	0	14.7885358901244	0	0	0	0	0	4.62591391011845	0	14.6278969257091	1.33866141371265	0	0	6.01235695329829	0	0	3.05267571780628	0	14.5044849498586
"ENSMUSG00000022542"	0	0	0	0	0	0	1.11459884045203	0	12.8347576137914	0	2.02927693321525	0	0	0	2.24509574484849	0	13.0889651811728	0	0	0	5.41633419971485	0	0.802092474667049	0	0	12.905845963135
"ENSMUSG00000022875"	0	0.725747767348539	0	3.6329589911646	15.7097109198672	0	2.16865606298247	0	1.82537731996965	0.570402575211101	0	3.54682743189217	15.9004034739268	0	0	0	0	0	0	0	6.05607364523824	15.7008148395197	0	0	0.801268266634434	0
"ENSMUSG00000022877"	0	0.725747767348539	0	7.78132051228376	15.2273399761422	0	0	0	0	0	1.34539697849003	7.2928239230767	15.3854652346165	0	0	0	0	0	0	0	6.25675121889157	15.0930062364372	0	0	0.455561264753473	0
"ENSMUSG00000023433"	0	7.86470579390514	0	1.09801109946042	0	0	0	0	2.99927690716039	0	17.1106502356574	1.08742403594832	0	0	0	4.79774200849609	4.72672352470381	0	16.595739854232	0	2.31379957031343	0	0.802092474667049	0	7.85077896088307	2.25786011064674
"ENSMUSG00000023577"	1.8685730304032	0	0	0	0	0	1.73582359978903	0	13.4436121146054	0.978104635430993	0	0	0	0	3.75156572821784	0	13.9965751756355	1.33866141371265	0	0	5.19956128430327	0	0	0	0	13.3295217733172
"ENSMUSG00000024029"	0	13.2387259708462	0	1.09801109946042	5.60559060919964	0	0	0	0	0	14.2592060889766	0.643829802282914	5.39123625596107	0	0	0.848333056012853	0.772073875385389	0	13.4070071866218	0	0	6.27398035365637	0	0	0	0
"ENSMUSG00000024207"	0.733725728375619	0	0	0	0	0	2.16865606298247	0.458671262680057	12.9961927382086	1.96703106668949	0	0	0	0	3.45617030889803	0	13.0213119127412	1.33866141371265	0	0	5.41633419971485	0	1.08095937628025	2.21684194459461	0	12.9964525283561
"ENSMUSG00000024225"	0	10.5432455354065	0	0	0	0	0	0	3.70973010751247	0	16.8921110112027	0.643829802282914	0	0	0	3.86860090649149	3.98751918508784	0	16.9997133427576	0	0	0	1.31455528199201	0	8.398369501557	3.62625761583175
"ENSMUSG00000024471"	0	0.725747767348539	10.3995778586675	0	0	0	15.5329650628398	0	3.84358025913339	1.96703106668949	0	0	0	0	15.6650548724829	0	0.772073875385389	0	0	8.70417017583075	0	0	0.802092474667049	15.2892390514558	0	0
"ENSMUSG00000024863"	0.733725728375619	4.22121624387285	0	1.43876699888917	13.781704965403	0	0	0	2.26783397487659	0	8.5406366457003	2.30372229422284	13.4799049521635	0	0	0	2.18225191133037	0	3.74323191953076	0	0	13.5577106912344	0	0	0	2.25786011064674
"ENSMUSG00000025396"	0	11.4634861708255	0	0	14.3837355044377	0	0	0	0.71017205295216	0	11.4171857916576	0	12.2526117279335	0	1.16793285501311	0	0.772073875385389	0	11.1671669608273	0	0	13.6660226915389	0	0	0.455561264753473	1.53177204993539
"ENSMUSG00000026182"	0	0	0	0.651037389025403	0	0	1.11459884045203	0	14.3686656303556	0	0	0	0	0	6.42271867859955	0	14.3482850624898	0	0	0	7.50558776347686	0	0	5.36233726138168	0.455561264753473	14.6829351011734
"ENSMUSG00000026246"	0	5.25792265129821	0	0	0	0	0	0	6.22450162922748	0	5.30469452677762	0	0	0	0	0	7.2522178422338	0	6.94073638009829	0	1.57819191466057	0	0.456085010190152	0	0	7.19611907103854
"ENSMUSG00000026272"	0	3.59858898027144	0	0	13.2653492527981	1.09722271868196	1.11459884045203	0	0.71017205295216	0	5.0600915939338	0	13.8591571869365	2.26339818820938	0	0	1.27228944845496	0	4.43644753674342	0	0	13.1205161673798	1.31455528199201	0	0	1.53177204993539
"ENSMUSG00000026523"	1.57955867523083	0	0	0	0	1.09722271868196	0	0	12.5308210071228	0	0	0	0	0	3.28218276747374	0	12.1629038513695	2.48220197989934	0	0	5.19956128430327	0	0	3.05267571780628	0	12.3626778273465
"ENSMUSG00000027261"	0	0.725747767348539	0	0	13.9786994162706	0	0	0	3.21225644858017	2.13572040846	1.34539697849003	0	13.4723501543365	0	0	0	5.83061298618029	2.02088649781001	0	0	0	13.9307223910369	0.456085010190152	0	1.07994029193935	5.89805446563757
"ENSMUSG00000028240"	0	0	0	0	12.6067632908876	0	0	0	5.117194592086	0	0	0	11.8861713167736	0	0	0	3.62334787217132	0	0	0	0	14.3617968788729	0	0	0	1.53177204993539
