"cell"	"cluster"
"1"	"C1.1772078.029.F11"	"clus7"
"2"	"C1.1772089.202.E04"	"clus7"
"3"	"C1.1772099.091.D10"	"clus1"
"4"	"C1.1772089.200.D08"	"clus1"
"5"	"C1.1772096.083.E11"	"clus1"
"6"	"C1.1772062.114.G10"	"clus1"
"7"	"C1.1862091.113.B02"	"clus1"
"8"	"C1.1772072.240.D04"	"clus7"
"9"	"C1.1772075.317.A06"	"clus7"
"10"	"C1.1772117.038.D01"	"clus1"
"11"	"C1.1772117.038.D03"	"clus5"
"12"	"C1.1772078.017.G04"	"clus1"
"13"	"C1.1772096.087.H11"	"clus1"
"14"	"C1.1772099.001.H05"	"clus1"
"15"	"C1.1772092.002.G06"	"clus7"
"16"	"C1.1772096.087.C06"	"clus1"
"17"	"C1.1772099.012.D02"	"clus1"
"18"	"C1.1772075.305.F07"	"clus1"
"19"	"C1.1772075.305.F11"	"clus1"
"20"	"C1.1772099.036.G05"	"clus1"
"21"	"C1.1772078.017.G06"	"clus1"
"22"	"C1.1772125.090.A09"	"clus1"
"23"	"C1.1772117.038.B09"	"clus1"
"24"	"C1.1772125.080.A10"	"clus5"
"25"	"C1.1772125.078.A03"	"clus5"
"26"	"C1.1772117.102.H11"	"clus2"
"27"	"C1.1772092.264.E09"	"clus1"
"28"	"C1.1772117.101.D04"	"clus2"
"29"	"C1.1772096.083.G11"	"clus1"
"30"	"C1.1772117.124.H04"	"clus2"
"31"	"C1.1772125.080.A02"	"clus5"
"32"	"C1.1772117.101.A11"	"clus2"
"33"	"C1.1772117.104.H04"	"clus2"
"34"	"C1.1772117.104.G04"	"clus2"
"35"	"C1.1772099.010.G04"	"clus2"
"36"	"C1.1772117.055.G03"	"clus2"
"37"	"C1.1772094.135.B11"	"clus1"
"38"	"C1.1772078.016.C06"	"clus1"
"39"	"C1.1772117.158.H02"	"clus2"
"40"	"C1.1772096.088.F09"	"clus1"
"41"	"C1.1772096.084.E11"	"clus1"
"42"	"C1.1772078.030.C11"	"clus1"
"43"	"C1.1772096.091.B09"	"clus1"
"44"	"C1.1772096.087.C04"	"clus1"
"45"	"C1.1772092.013.F04"	"clus1"
"46"	"C1.1772067.074.E07"	"clus1"
"47"	"C1.1772117.103.H07"	"clus2"
"48"	"C1.1772078.033.E04"	"clus1"
