"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"PSAC"	2.944807	2.45791	2.862155	2.313841	1.920271	2.722762	4.911487	5.245808	5.887271	6.064104	5.986663	5.83977	5.978279	5.88067	4.583597	3.591811	3.592375	3.779814	4.329953	3.843138	3.852817	4.089324	3.391048	1.95067	4.453823	3.442959	2.177486	2.360412
"NDHG"	4.243482	4.072965	4.154074	4.935179	3.350848	3.44774	5.980838	6.114851	6.754031	6.668285	5.978415	5.925548	5.417807	5.472213	4.043408	4.629639	4.537122	5.191696	5.25821	4.949627	4.610514	2.722494	4.398187	2.956616	1.956084	3.28821	3.152145	4.146181
"PETG"	4.8303982	5.5162601	5.3904177	5.3725066	4.1734636	4.9001379	5.4050024	5.9783008	7.0425656	6.9895695	6.6968491	6.3783975	5.8742393	6.5384397	3.8471138	5.5675107	5.4441038	5.1670202	3.5332187	4.5860939	5.1945583	4.3464782	3.956263	2.3506	4.4625634	3.0667735	2.8690275	0.7696971
"PSBT..PSBTC"	3.7367	4.187555	5.287334	5.54085	2.171948	3.476506	4.341827	6.203912	7.366906	7.358842	7.201974	6.668689	7.181779	6.794047	4.496971	5.909021	6.303726	6.000708	6.050129	4.552566	5.177429	3.706435	3.679592	4.12238	3.258715	3.95131	2.137867	2.277511
"NDHF"	2.259286	2.237261	3.511719	2.419103	2.067352	3.925359	4.098939	3.09333	3.992282	5.514595	3.414496	4.976484	4.913292	4.312358	3.147307	2.249271	2.940538	2.118802	3.26868	4.038929	2.320837	3.005495	1.891812	2.959885	2.388044	2.000829	1.354733	1.393196
"ATPI"	4.440196	3.7949	4.660801	4.289071	3.651675	3.081171	4.527625	4.673889	5.666926	5.355392	5.34677	3.859274	5.079169	5.10237	3.527152	3.706781	4.500064	4.58208	4.738331	3.571964	4.529867	1.174585	3.767544	2.168602	4.305572	2.482518	2.193488	4.425549
"NDHJ"	3.379123	4.151696	5.718773	4.029754	5.274175	5.025094	6.698683	6.387302	7.520282	7.34296	7.168964	6.785675	7.379647	6.625338	4.631683	4.308456	5.1937	6.069948	5.313677	5.371187	6.173375	3.197704	3.685904	5.415681	4.336754	2.395497	4.538784	4.003358
"AT.HSFB3..HSFB3"	3.87758	4.492724	2.559165	2.730552	3.806591	2.020544	2.085329	5.914751	5.474664	5.79642	3.66486	4.082317	2.791503	5.199923	3.710857	5.484717	6.270432	5.807393	5.113798	4.901673	5.5821	3.881925	4.110805	5.930431	5.783437	5.306528	3.083016	3.623898
"ATRAD51C..RAD51C"	4.364737	5.116818	5.513701	5.699774	5.96373	6.864292	6.80607	1.725052	3.213232	4.144304	5.609783	5.714954	5.70501	5.939229	2.331701	3.190949	4.702722	3.902646	6.15855	6.020166	6.036925	3.35482	3.767666	5.510945	3.851763	3.646111	4.623332	6.158708
"X04C11..ATPEN1..PEN1"	3.880104	2.976933	1.548469	1.163834	4.309288	3.463203	3.377792	6.85447	5.378718	5.286201	4.750627	6.152183	5.61446	6.117928	8.362768	6.509991	6.350726	5.117257	8.035491	8.084572	7.614389	8.246744	9.16567	8.897625	6.473674	8.457008	9.063673	9.568062
"XTH15..XTR7"	8.353904	6.946266	4.521995	5.602898	5.876361	5.927095	6.083627	11.330701	9.27111	9.573657	9.091268	9.343847	8.86897	8.989567	12.984164	11.063806	8.84409	10.160228	10.043901	10.732462	10.287083	11.673042	10.91116	10.060143	11.853132	11.326647	11.90299	12.07717
"MYB39"	3.345311	5.30913	3.957699	2.76635	4.807133	2.121196	2.157438	5.201247	5.479549	7.46405	7.815253	4.619303	5.362384	5.135146	10.447417	10.473734	11.516388	11.62597	10.52348	9.324021	9.038238	6.89985	8.15285	9.395462	8.852575	7.209072	6.588058	6.169207
"ATMAP70.5..MAP70.5"	6.05227	4.027367	2.799561	3.173966	3.998512	4.754044	4.103587	9.871999	8.161625	8.315332	6.895013	7.229555	7.404342	7.402146	9.553736	8.918741	7.362369	8.461113	8.787594	8.697146	8.160326	9.181302	8.475105	7.881457	8.551608	8.317463	8.159938	8.459621
"DALL1..PLA.I.beta.2"	5.709864	6.073348	6.29111	6.368038	5.777778	6.137845	6.454655	5.285476	3.146404	6.478263	6.973275	5.094861	4.187338	4.945222	7.461848	9.089727	10.080979	10.332823	8.442306	7.264814	7.563268	6.595752	6.889139	8.635526	8.819166	6.54448	6.178997	7.029399
"CYP705A2"	9.40889	9.009078	9.404471	10.095068	8.953625	9.877057	9.399049	6.178792	5.355842	7.507278	7.666236	7.381557	7.566714	6.800662	5.82081	4.215366	5.378963	5.645747	6.505992	5.947339	5.38163	5.86112	7.282064	4.951888	5.862701	6.655533	6.801729	6.357001
"ATECI3..ECI3..HCD1"	1.951374	4.064707	4.184084	5.150963	5.64647	5.016953	4.525709	3.951081	5.110249	6.446657	8.017301	4.902661	3.184589	5.203174	6.432917	8.52349	11.196389	11.333678	10.155148	7.160419	7.893989	4.11259	5.78014	8.218342	8.478654	6.075297	3.002859	5.387214
"FD.GOGAT..GLS1..GLU1..GLUS"	2.983985	4.00014	2.309103	1.680147	2.367109	3.269421	4.100197	6.101524	6.862285	6.658839	6.576089	5.979565	4.436313	4.596689	3.374661	4.275668	3.909508	3.585956	3.887699	2.48158	2.368171	2.861587	2.920265	4.684072	4.520282	2.623703	3.823323	3.833094
"NAMT1"	2.565436	1.13133	1.895797	1.657051	1.383583	1.423323	1.70718	4.030535	5.132162	1.520492	2.931068	2.175386	5.732884	6.628226	4.664883	4.473283	3.681348	3.048568	2.664893	3.671361	3.667123	2.139785	6.374645	3.346966	3.369436	1.537173	4.848601	4.995176
"ATSUS6..SUS6"	3.59197	5.032443	3.731576	2.632349	2.535646	3.962574	5.100368	4.354271	6.026939	2.896354	2.18026	4.493323	4.020576	2.882857	5.526394	6.003468	2.396418	3.948056	4.908288	1.890121	2.730893	5.126621	6.087778	5.810347	6.160468	6.117295	5.675904	6.516305
"ATMYB54..MYB54"	3.8042531	0.3822558	1.8354273	4.0531614	2.697349	1.5831546	2.0702105	2.9079795	1.0953441	3.2070325	2.8885967	2.7660097	0.9039242	2.8141109	3.6309395	1.7009243	3.6712845	5.1899747	5.8454467	2.1986179	2.0035209	2.5749286	5.7043243	5.5194492	6.2160973	5.3696741	5.3515236	4.8808272
"ATDR4..DR4"	6.565509	5.299943	5.016431	3.990985	5.428962	6.215151	6.371554	8.911185	8.585172	7.910087	6.469548	9.48153	10.173299	11.741442	6.908637	5.942888	6.151477	4.830718	6.020997	6.264571	6.455232	9.131541	8.475469	6.60137	6.03877	7.434815	8.758491	10.075831
"AT.HSFB4..HSFB4..SCZ"	4.593742	2.879993	5.05805	3.37264	2.845695	2.824196	4.156945	5.157912	5.480114	6.399942	6.354667	6.847185	6.901859	6.517138	6.191202	5.371519	7.121419	7.542802	7.437616	7.110837	7.390728	5.57879	5.622934	6.597348	6.417402	6.253617	6.489881	6.770006
"LAC14"	2.058352	3.142152	4.700887	3.999906	4.448685	4.225369	3.791801	1.84885	2.600281	3.034231	3.673849	4.787201	4.036636	2.563806	4.90112	5.280005	3.233473	4.495123	3.787579	4.157328	3.364509	4.903594	3.001481	3.603924	3.521311	3.447725	3.700299	3.89929
"ATROPGEF10..GEF10..ROPGEF10"	7.167255	6.657124	3.830649	5.113368	4.687136	4.538481	3.988841	6.157087	5.007642	5.25136	5.791644	6.108832	3.417844	4.543433	4.955046	4.528021	2.426145	2.95503	3.509513	3.800774	1.508635	7.386786	6.182413	4.020283	5.397458	7.16207	5.63243	3.724088
