"AtlasAssayGroup"	"genotype"	"organism"	"cultivar"	"developmental_stage"	"age"	"organism_part"	"environmental_history"	"stimulus"	"samTime"	"con"	"samTimeCon"
"SRR7265373"	"g1"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seed"	"0h"	"embryo"	"etiolation"	"aerobic"	"embryo0h"	"A"	"embryo0hA"
"SRR7265374"	"g1"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seed"	"0h"	"embryo"	"etiolation"	"aerobic"	"embryo0h"	"A"	"embryo0hA"
"SRR7265375"	"g1"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seed"	"0h"	"embryo"	"etiolation"	"aerobic"	"embryo0h"	"A"	"embryo0hA"
"SRR7265376"	"g3"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile1h"	"A"	"embryoColeoptile1hA"
"SRR7265377"	"g3"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile1h"	"A"	"embryoColeoptile1hA"
"SRR7265378"	"g3"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile1h"	"A"	"embryoColeoptile1hA"
"SRR7265379"	"g2"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile1h"	"N"	"embryoColeoptile1hN"
"SRR7265380"	"g2"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile1h"	"N"	"embryoColeoptile1hN"
"SRR7265381"	"g2"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"1h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile1h"	"N"	"embryoColeoptile1hN"
"SRR7265382"	"g9"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile3h"	"A"	"embryoColeoptile3hA"
"SRR7265383"	"g9"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile3h"	"A"	"embryoColeoptile3hA"
"SRR7265384"	"g9"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile3h"	"A"	"embryoColeoptile3hA"
"SRR7265385"	"g8"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile3h"	"N"	"embryoColeoptile3hN"
"SRR7265386"	"g8"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile3h"	"N"	"embryoColeoptile3hN"
"SRR7265387"	"g8"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"3h"	"embryoColeoptile"	"etiolation"	"anaerobic"	"embryoColeoptile3h"	"N"	"embryoColeoptile3hN"
"SRR7265388"	"g5"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"12h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile12h"	"A"	"embryoColeoptile12hA"
"SRR7265389"	"g5"	"wild type genotype"	"Oryza sativa"	"Amaroo"	"seedling development stage"	"12h"	"embryoColeoptile"	"etiolation"	"aerobic"	"embryoColeoptile12h"	"A"	"embryoColeoptile12hA"
