"feature"	"ontology"	"SVG"	"description"
"1"	"brain"	"UBERON_0000955"	"anolis_carolinensis.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"2"	"heart"	"UBERON_0000948"	"anolis_carolinensis.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"3"	"kidney"	"UBERON_0002113"	"anolis_carolinensis.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"4"	"skeletal.muscle.organ"	"UBERON_0014892"	"anolis_carolinensis.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"5"	"leaf"	"PO_0025034"	"arabidopsis_thaliana.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"6"	"root"	"PO_0009005"	"arabidopsis_thaliana.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"7"	"flower"	"PO_0009046"	"arabidopsis_thaliana.svg"	"A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part."
"8"	"fruit"	"PO_0009001"	"arabidopsis_thaliana.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"9"	"adipose.tissue"	"UBERON_0001013"	"bos_taurus.svg"	"Portion of connective tissue composed of adipocytes enmeshed in areolar tissue"
"10"	"duodenum"	"UBERON_0002114"	"bos_taurus.svg"	"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
"11"	"brain"	"UBERON_0000955"	"bos_taurus.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"12"	"hypothalamus"	"UBERON_0001898"	"bos_taurus.svg"	"A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei. [ZFA]. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis).[Wikipedia]."
"13"	"kidney"	"UBERON_0002113"	"bos_taurus.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"14"	"lung"	"UBERON_0002048"	"bos_taurus.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"15"	"colon"	"UBERON_0001155"	"bos_taurus.svg"	"Last portion of the large intestine before it becomes the rectum."
"16"	"heart"	"UBERON_0000948"	"bos_taurus.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"17"	"liver"	"UBERON_0002107"	"bos_taurus.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"18"	"skeletal.muscle.organ"	"UBERON_0014892"	"bos_taurus.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"19"	"pulmonary.vein"	"UBERON_0002016"	"bos_taurus.svg"	"Pulmonary veins are blood vessels that transport blood from the lungs to the heart[GO]."
"20"	"anther"	"PO_0009066"	"brachypodium_distachyon.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"21"	"carpel"	"PO_0009030"	"brachypodium_distachyon.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
"22"	"caryopsis"	"PO_0009001"	"brachypodium_distachyon.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"23"	"plant.embryo"	"PO_0009009"	"brachypodium_distachyon.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"24"	"endosperm"	"PO_0009089"	"brachypodium_distachyon.flower_parts.svg"	"A portion of plant tissue (PO:0009007) which is a maximal portion of nutritive plant tissue in a seed (PO:0009010)."
"25"	"seed"	"PO_0009010"	"brachypodium_distachyon.whole_plant.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088)."
"26"	"inflorescence"	"PO_0009049"	"brachypodium_distachyon.whole_plant.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"27"	"leaf"	"PO_0025034"	"brachypodium_distachyon.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"28"	"brain"	"UBERON_0000955"	"gallus_gallus.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"29"	"heart"	"UBERON_0000948"	"gallus_gallus.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"30"	"kidney"	"UBERON_0002113"	"gallus_gallus.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"31"	"liver"	"UBERON_0002107"	"gallus_gallus.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"32"	"skeletal.muscle.organ"	"UBERON_0014892"	"gallus_gallus.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"33"	"colon"	"UBERON_0001155"	"gallus_gallus.svg"	"Last portion of the large intestine before it becomes the rectum."
"34"	"spleen"	"UBERON_0002106"	"gallus_gallus.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"35"	"title4184"	"UBERON_0002048"	"gallus_gallus.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"36"	"frontal_cortex"	"UBERON_0001870"	"homo_sapiens.brain.svg"	"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally[NIFSTD,modified]."
"37"	"locus_ceruleus"	"UBERON_0002148"	"homo_sapiens.brain.svg"	"The locus ceruleus is a dense cluster of neurons within the dorsorostral pons. This nucleus is the major location of neurons that release norepinephrine throughout the brain, and is responsible for physiological responses to stress and panic[GO]. Bluish region in the superior angle of the fourth ventricle floor, corresponding to melanin-like pigmented nerve cells which lie lateral to the ponto-mesencephalic central gray (griseum centrale). It is also known as nucleus pigmentosus pontis[GAID]."
"38"	"diencephalon"	"UBERON_0001894"	"homo_sapiens.brain.svg"	"The division of the forebrain that develops from the foremost primary cerebral vesicle."
