"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"	"metadata"
"ENSMUSG00000000031"	8	16	647	1	4	52	24409	3	31	4	5	2	4	30	11974	6	32	5	31	391	12	12	191	29500	25	45	"H19 H19, imprinted maternally expressed transcript"
"ENSMUSG00000000049"	5	21	5	875	138731	8	29	3	1154	5	42	231	83396	1	34	1	1323	11	25	17	626	110529	14	18	3	1437	"Apoh apolipoprotein H"
"ENSMUSG00000000058"	664	132	3695	424	212	6778	1225	140	44	584	55	597	68	6258	834	136	30	592	93	4174	568	141	5101	1671	186	26	"Cav2 caveolin 2"
"ENSMUSG00000000093"	30	228	265	1063	98	2694	78	71	79	32	171	759	110	2732	101	77	66	23	211	289	1305	97	6680	212	57	36	"Tbx2 T-box 2"
"ENSMUSG00000000125"	109	38	0	1	0	2	0	4	739	73	43	1	0	0	5	4	1224	24	60	0	8	0	1	0	1	600	"Wnt3 wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000154"	8	2510	37	14091	4855	237	19	12	375	11	3586	11689	6141	148	12	23	573	8	3040	47	12603	5080	160	18	18	346	"Slc22a18 solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	58	31	21	88	42	147	23	9	1419	64	22	67	13	181	27	8	1112	69	31	25	73	21	105	22	14	1653	"Pih1d2 PIH1 domain containing 2"
"ENSMUSG00000000197"	3699	8	74	11	1	10	3	4	74	2803	8	22	1	13	54	4	43	3121	4	98	10	6	14	40	3	123	"Nalcn sodium leak channel, non-selective"
"ENSMUSG00000000223"	2073	15	25	0	0	15	167	13	322	2619	28	3	0	22	375	12	226	2904	4	38	0	0	13	201	38	246	"Drp2 dystrophin related protein 2"
"ENSMUSG00000000244"	1	101	30	18	20	194	15	3436	4	7	200	25	17	317	14	2713	10	2	268	59	16	9	201	22	2564	6	"Tspan32 tetraspanin 32"
"ENSMUSG00000000247"	658	1	0	105	82	0	10	6	438	775	5	0	68	0	5	6	505	1020	6	4	10	65	1	4	3	420	"Lhx2 LIM homeobox protein 2"
"ENSMUSG00000000253"	833	51	2614	2680	51	327	7374	181	131	831	77	2049	41	298	6034	70	173	1106	105	2768	3694	38	367	8297	151	161	"Gmpr guanosine monophosphate reductase"
"ENSMUSG00000000290"	59	438	207	113	99	2270	133	3553	39	83	778	128	220	1755	84	5659	50	80	843	573	155	179	2229	124	4799	34	"Itgb2 integrin beta 2"
"ENSMUSG00000000301"	28	27	44	19	11697	26	71	27	243	25	23	28	9620	28	42	10	185	38	45	34	34	7154	27	58	17	344	"Pemt phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000305"	474	9	32	62	38	85	4093	103	31	695	11	98	25	86	808	100	38	364	12	21	22	41	121	847	67	34	"Cdh4 cadherin 4"
"ENSMUSG00000000308"	5821	32994	39	647	9	420	0	8	3	3564	37980	882	3	226	17	0	8	6184	29774	21	1023	3	312	4	4	6	"Ckmt1 creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000326"	894	2382	4349	9401	44013	1640	1755	1171	249	1446	2882	5636	38183	1107	1380	985	212	999	2315	4466	11437	31550	1744	2802	1616	236	"Comt catechol-O-methyltransferase"
"ENSMUSG00000000385"	2	6292	5	3240	371	1692	1	3	51	2	5862	3812	119	1935	4	3	21	0	3885	0	4310	294	1253	4	3	64	"Tmprss2 transmembrane protease, serine 2"
"ENSMUSG00000000392"	57	49	355	5	13	26	465	31	6	86	57	19	8	44	545	18	5	73	41	437	6	9	26	489	28	0	"Fap fibroblast activation protein"
"ENSMUSG00000000402"	75	5	5	315	0	1086	19	24	22	60	0	302	1	1061	46	15	8	21	14	8	284	6	1076	88	16	21	"Egfl6 EGF-like-domain, multiple 6"
"ENSMUSG00000000409"	29	418	23	24	33	367	5	2891	90	38	872	46	56	554	9	2969	52	64	998	4	38	32	321	11	1711	89	"Lck lymphocyte protein tyrosine kinase"
"ENSMUSG00000000416"	2450	73	69	139	6	288	34	77	99	3406	91	274	14	223	39	62	81	2982	153	81	236	6	135	29	107	102	"Cttnbp2 cortactin binding protein 2"
"ENSMUSG00000000486"	25	438	134	110	42	349	59	4217	34	32	809	111	73	606	66	4611	25	35	1190	144	145	53	456	124	3261	23	"Septin1 septin 1"
"ENSMUSG00000000530"	196	594	1239	419	86	12289	467	579	113	130	963	498	181	11443	413	713	95	119	936	2195	498	159	17154	803	704	102	"Acvrl1 activin A receptor, type II-like 1"
"ENSMUSG00000000627"	737	14	7	1	20	366	3	134	39	831	22	3	8	389	6	146	57	936	21	8	2	9	452	40	66	78	"Sema4f sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
