"AtlasAssayGroup"	"organism"	"strain"	"genotype"	"developmental_stage"	"age"	"sex"	"organism_part"
"ERR2576379"	"g1"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"brain"
"ERR2576380"	"g1"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"brain"
"ERR2576381"	"g2"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"cerebellum"
"ERR2576382"	"g2"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"cerebellum"
"ERR2576383"	"g3"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"heart"
"ERR2576384"	"g3"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"heart"
"ERR2576385"	"g4"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"kidney"
"ERR2576386"	"g4"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"kidney"
"ERR2576389"	"g6"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"ovary"
"ERR2576390"	"g6"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"female"	"ovary"
"ERR2576391"	"g1"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"brain"
"ERR2576392"	"g1"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"brain"
"ERR2576393"	"g2"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"cerebellum"
"ERR2576394"	"g2"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"cerebellum"
"ERR2576395"	"g3"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"heart"
"ERR2576396"	"g3"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"heart"
"ERR2576397"	"g3"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"heart"
"ERR2576398"	"g4"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"kidney"
"ERR2576399"	"g4"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"kidney"
"ERR2576402"	"g7"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"testis"
"ERR2576403"	"g7"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day10"	"male"	"testis"
"ERR2576404"	"g8"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"brain"
"ERR2576405"	"g8"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"brain"
"ERR2576406"	"g9"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"cerebellum"
"ERR2576407"	"g9"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"cerebellum"
"ERR2576408"	"g10"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"heart"
"ERR2576409"	"g10"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"heart"
"ERR2576410"	"g11"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"kidney"
"ERR2576411"	"g11"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"kidney"
"ERR2576412"	"g12"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"liver"
"ERR2576413"	"g12"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"liver"
"ERR2576414"	"g13"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"ovary"
"ERR2576415"	"g13"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"female"	"ovary"
"ERR2576416"	"g8"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"brain"
"ERR2576417"	"g8"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"brain"
"ERR2576418"	"g9"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"cerebellum"
"ERR2576419"	"g9"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"cerebellum"
"ERR2576420"	"g10"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"heart"
"ERR2576421"	"g10"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"heart"
"ERR2576422"	"g11"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"kidney"
"ERR2576423"	"g11"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"kidney"
"ERR2576424"	"g12"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"liver"
"ERR2576425"	"g12"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"liver"
"ERR2576426"	"g14"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"testis"
"ERR2576427"	"g14"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day12"	"male"	"testis"
"ERR2576428"	"g15"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"brain"
"ERR2576429"	"g15"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"brain"
"ERR2576430"	"g16"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"cerebellum"
"ERR2576431"	"g16"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"cerebellum"
"ERR2576432"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"heart"
"ERR2576433"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"heart"
"ERR2576434"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"kidney"
"ERR2576435"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"kidney"
"ERR2576436"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"liver"
"ERR2576437"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"liver"
