"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"NDHG"	"NADH dehydrogenase ND6"
"PETG"	"Cytochrome b6-f complex, subunit V. Disruption of homologous gene in Chlamydomonas results in disruption of cytochrome b6-f complex."
"PSBT..PSBTC"	"Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn)., Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn)."
"NDHF"	"Chloroplast encoded  NADH dehydrogenase unit."
"ATPI"	"Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex."
"NDHJ"	"Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion."
"AT.HSFB3..HSFB3"	"member of Heat Stress Transcription Factor (Hsf) family, member of Heat Stress Transcription Factor (Hsf) family"
"ATRAD51C..RAD51C"	"Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions., Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions."
"X04C11..ATPEN1..PEN1"	"Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast., Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast., Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast."
"XTH15..XTR7"	"xyloglucan endotransglycosylase-related protein (XTR7), xyloglucan endotransglycosylase-related protein (XTR7)"
"MYB39"	"Encodes a putative transcription factor (MYB39)."
"ATMAP70.5..MAP70.5"	"Encodes a microtubule associated protein (MAP70-5). Regulates secondary wall patterning in wood cells.  Expressed in all tissues., Encodes a microtubule associated protein (MAP70-5). Regulates secondary wall patterning in wood cells.  Expressed in all tissues."
"DALL1..PLA.I.beta.2"	"Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols., Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols."
"CYP705A2"	"member of CYP705A"
